share	common
important	most-valuable
comprehensive	all-around
undefeated	triumphant
unusual	unique
unpainted	unstained
blemish	pock
stormy	thundery
illegal	embezzle
stale	day-old
dilute	white
underprivileged	deprive
successful	make
dynamic	energize
leafy	ivied
ill	dizzy
violent	knockdown-dragout
specify	mere
indecent	obscene
unattractive	subfusc
edible	pareve
tense	overstrung
sociable	clubbish
right	oldline
depressant	soporific
eastern	oriental
specific	particular
satisfactory	pass
crucial	critical
healthful	antimicrobial
adorn	carbuncled
worthy	sacred
superior	shine
painful	bite
control	harness
relax	laid-back
inclement	unsparing
quiet	untroubled
tall	stately
standard	acceptable
necessary	essential
sociable	extroverted
androgynous	unisex
joyous	elate
thick	four-ply
active	about
dilute	watery
dependent	underage
internal	inner
noisy	reedy
small	olive-sized
unsteady	quaver
light	powdery
familiar	beat
agitate	feverish
aggressive	truculent
alcoholic	hard
off	disconnect
rigid	semirigid
cardinal	eighty-four
subordinate	adjunct
distrustful	cynical
carnivorous	flesh-eating
curly	ringleted
central	median
soft	mushy
ambiguous	multivalent
indirect	tortuous
noble	imperial
concise	aphoristic
round	aspheric
sarcastic	saturnine
incongruous	inappropriate
excite	heady
seedy	seed
inconsolable	desolate
inform	advise
good	satisfactory
pattern	brindled
unobstructed	unimpeded
carry	prolong
indistinct	cloudy
due	out-of-pocket
incomplete	sketchy
clean	kosher
artful	manipulative
lead	antiknock
complete	stand-alone
tire	aweary
military	soldierly
imperative	strident
efficient	high-octane
toxic	nephrotoxic
rural	agrestic
physical	material
change	switch
gracious	merciful
proud	conceited
periodic	semimonthly
weak	faint
homemade	home-brewed
persuasive	compel
hairless	depilatory
size	sparrow-sized
modest	retire
afraid	hangdog
early	earlyish
social	gregarious
blind	deuteranopic
soft	flocculent
alcoholic	intoxicant
complete	exhaustive
contemptible	abject
talk	verbalize
lose	squander
male	phallic
report	accord
rough	rocky
shade	shady
explicit	definitive
incline	fond
unhealthy	cankerous
noisy	thunder
melodious	lyrical
present	immediate
bite	burn
sarcastic	sardonic
impressive	formidable
aware	conscious
complex	byzantine
collapsible	telescopic
exact	direct
inappropriate	improper
thick	coagulable
good	angelic
read	take
simple	reniform
uncontrolled	irrepressible
untreated	raw
infrequent	rare
subordinate	feudatory
sacred	divine
objective	verifiable
prophetic	fateful
acute	subacute
tasty	bitter
impractical	unfunctional
treat	bandage
private	tete-a-tete
concise	crisp
specify	specific
unconscious	cold
periodic	semestral
plain	homely
short	fleet
simple	orbiculate
weak	jerry-built
sympathetic	condolent
equal	isometric
musical	philharmonic
apologetic	defensive
invisible	undetectable
affect	wonder-struck
clear	clear-cut
hospitable	welcome
deep	bottomless
cardinal	twenty-four
accommodate	complaisant
play	meet
accessible	come-at-able
democratic	representative
alarm	hairy
expensive	costly
beak	short-beaked
effortless	unforced
oblique	nonparallel
fashionable	up-to-date
incoming	inpouring
contract	contractile
paranormal	psychokinetic
finite	tense
favorable	indulgent
orient	bind
insane	fey
amicable	well-meaning
extract	draw
orthodox	canonic
skin	velvety-skinned
direct	no-nonsense
underprivileged	underclass
understand	see
exempt	privilege
reasonable	commonsense
distant	extreme
slow	sluggish
thoughtless	unreflective
genuine	authentic
fractional	halfway
sorrowful	brokenhearted
available	accessible
graceful	gainly
careful	overcareful
wear	raddle
significant	operative
meet	play
multilateral	quadrilateral
multilateral	eleven-sided
unhealthy	ingrowing
accurate	true
strange	eerie
round	ellipsoid
pattern	freckle
high	shrill
cellular	multicellular
inferior	bum
solid	solid-state
clear	broad
emotional	mind-blowing
mental	moral
homemade	homespun
unaware	unconscious
sugary	candy
implausible	improbable
stimulate	thrill
wooded	scrabbly
adaptable	elastic
whole	livelong
form	y-shaped
unclear	blur
stable	last
short	shortish
septic	infectious
unlimited	bottomless
legal	judicial
free	unconstrained
bright	brilliant
save	bless
ample	generous
accurate	veracious
neurotic	nymphomaniacal
valid	reason
organic	integrate
attractive	dinky
multiple	septuple
rough	crenate
submissive	meek
ascend	highflying
active	progressive
excite	thrill
wild	chaotic
empirical	experiential
reserve	indrawn
exploit	employ
independent	strong-minded
susceptible	vulnerable
destructive	crush
dynamic	change
absent	truant
easy	user-friendly
mark	well-marked
cosmopolitan	travel
adorn	feathery
cardinal	seventy
enclose	fencelike
point	acanthoid
moderate	fair
necessary	obligatory
inactive	latent
irresponsible	idle
heterosexual	straight
fix	lead
slow	long-play
earthly	earthbound
tight	viselike
tasty	winy
moral	chaste
cardinal	forty-seven
causative	errhine
unfit	gammy
smoky	smoke-filled
inadequate	deficient
discriminate	diacritic
obstruct	stop
malicious	leer
function	up
sound	stable
plain	bare
favorable	approve
poor	resourceless
impure	contaminate
freeze	frostbitten
bind	conjugate
light	palish
specify	nominative
sell	betray
successful	productive
cook	toast
subsequent	late
uninhibited	unrepressed
strong	bullnecked
close	close-hauled
enthusiastic	avid
sexy	pornographic
tender	flaky
artificial	dummy
inhabit	underpopulated
rough	serrate
immature	pupal
wise	sapiential
sudden	abrupt
assign	allot
thin	shrivel
wise	sage
handmade	hand-loomed
unplanned	unpremeditated
pattern	white-streaked
sensitive	erogenous
perfect	faultless
unselfish	share
powerful	almighty
illegal	ineligible
uninterested	dismissive
intractable	unmalleable
energetic	canty
easy	simplify
incline	prone
elastic	flexible
intense	consume
sharp	metal-cutting
awkward	wooden
inhospitable	bare
irreverent	aweless
short	telescope
irreligious	lapse
speak	viva-voce
report	notifiable
complex	complicate
demand	needy
blemish	blebbed
cook	ready-cooked
slow	dilatory
septic	abscessed
unloved	alienate
injure	eviscerate
unthinkable	impossible
unfaithful	punic
consistent	unchanging
susceptible	convincible
eligible	desirable
abundant	superabundant
smokeless	smoke-free
fashionable	cool
body	thick-bodied
indefinite	one
sad	heavyhearted
point	six-pointed
informative	advisory
segregate	white
nonexistent	lack
stale	corrupt
aggressive	hostile
traditional	handed-down
politic	sagacious
cover	tile
cardinal	seventy-seven
illegal	illegitimate
opaque	fog
secure	steady
mismatch	odd
mobile	versatile
crown	cap
modify	restrict
eye	skew-eyed
sporadic	periodic
bad	poor
imperceptible	indiscernible
immoral	disgraceful
angular	asteroid
hopeless	insoluble
euphoric	expansive
cook	hard-baked
bony	strong-boned
protect	weatherproof
unlikely	farfetched
serious	earnest
false	untrue
combustible	burnable
reverent	respectful
certify	certifiable
heavenly	paradisiacal
seedless	seed
high	sopranino
hot	torrid
rich	lavish
discourage	demoralize
best	unsurpassable
adroit	light-fingered
rough	costate
powerless	weak
backward	converse
unreal	deceptive
periodic	oscillatory
meaningless	nonsense
hungry	famish
rough	saw-like
small	elfin
changeable	quick-change
cardinal	sixty-four
opportune	timely
valuable	worth
straight	guileless
joint	clannish
round	cylindrical
adhesive	gum
fuel	coal-fired
immature	childish
will	consent
cook	wafer-like
toxic	poisonous
aggressive	scrappy
light	floodlit
illegal	extrajudicial
cook	barbecue
possible	contingent
unnoticed	unperceived
intensify	augmentative
rhyme	end-rhymed
similar	connatural
adhesive	stick-on
difficult	rugged
insolvent	bankrupt
arm	militarize
curse	blast
individual	singular
inoperative	dead
unreliable	uncertain
logical	dianoetic
unknown	unheard-of
uneducated	ignorant
afraid	apprehensive
good	goody-goody
distribute	apportion
saturate	supersaturated
rough	crenulate
go	a-ok
unpredictable	episodic
short	compact
purposeful	purpose-built
high	last
last	ultimate
eye	ox-eyed
competitive	emulous
develop	originate
different	distinct
melt	dissolve
bold	heroic
blemish	flyblown
lose	confiscate
high	altitudinous
preserve	salt
unimportant	nickel-and-dime
holy	bless
official	authoritative
clothe	underdress
unsettle	open
toothed	tusk
moderate	indifferent
asymmetrical	unsymmetric
mobile	mechanize
unconditional	blunt
balance	well-balanced
dry	sec
beak	beaklike
crystalline	microcrystalline
undiluted	black
appeal	attention-getting
wrong	condemnable
weak	feeble
proud	overproud
intend	conscious
tire	knackered
literal	denotative
supportive	certificatory
salty	saltish
close	approximate
unselfish	public-spirited
free	unrestricted
revolve	rotate
mature	overblown
female	pistillate
soft	hush
unstable	rocky
finish	complete
refine	overrefine
sour	subacid
just	rightful
humorous	kill
successful	no-hit
point	five-pointed
irreconcilable	hostile
form	spoon-shaped
intense	rage
appropriate	proper
back	backmost
colorful	changeable
inferior	bush-league
heavy	dense
arrange	lay
reward	rewardful
run	range
hand	one-handed
usual	regular
sudden	sharp
intractable	uncontrollable
graceful	fluent
unmarked	unasterisked
large	gigantic
thin	fine
metallic	silver
inoperative	down
wing	one-winged
unpleasant	dreadful
support	pendent
due	collect
strong	reinforce
alarm	formidable
coat	oily
sacred	reverend
humorous	slapstick
injure	raw
incalculable	countless
cardinal	fifty-five
steep	bluff
innocent	acquit
possible	attainable
drop	dismiss
incomprehensible	enigmatic
thin	slender
equal	equilateral
sensitive	huffy
blond	ash-blonde
approachable	accessible
unpredictable	aleatory
thin	compress
large	huge
shapely	model
clothe	uniform
unconcerned	blase
changeable	volatile
cowardly	funky
invisible	infrared
clear	translucent
mark	scar
give	sacrifice
wide	comfortable
wary	shy
uncompromising	hard-line
generous	ungrudging
cardinal	twelve
forgettable	unmemorable
form	ductile
cowardly	chicken
abundant	overabundant
evergreen	semi-evergreen
refine	finespun
long	long-acting
appropriate	befit
mobile	seaborne
move	haunt
legitimate	true
intellectual	highbrow
soft	murmurous
taxable	ratable
purebred	full-blooded
strange	freaky
clean	cleanable
authorize	approve
inner	inside
cardinal	fifty-one
curve	flexuous
incomparable	alone
tense	nervous
indivisible	undividable
parallel	antiparallel
certain	convince
intend	intentional
round	lingulate
continental	continent-wide
provocative	challenge
balance	harmonious
inaudible	silent
loyal	hard-core
fit	acceptable
indirect	meander
androgynous	hermaphroditic
down	fall
uneven	crinkle
small	smallish
run	jet
short	chunky
sugary	honeylike
clothe	bundled-up
skilled	mean
superior	excellent
change	exchange
document	register
wing	alar
wicked	evil
tender	protective
wet	sodden
communicative	outspoken
integrate	desegrated
helpful	facilitative
mark	mask
bloody	homicidal
fatty	suety
tall	long
decisive	unhesitating
impair	diminish
oblique	diagonal
discourage	unencouraging
unsteady	convulsive
unintended	unintentional
ripe	mellow
neck	throated
multiple	quintuple
content	complacent
fancy	vermicular
simple	simplistic
variable	multivariate
liberal	liberalistic
liquid	semiliquid
specific	circumstantial
foolish	absurd
variable	versatile
sorrowful	woebegone
ripe	overripe
involuntary	automatic
discontent	disgruntle
worthy	creditable
brave	valiant
distrustful	leery
cold	emotionless
expedient	carpetbag
robust	hardy
theatrical	stagy
train	prepare
constrict	pinch
wooded	timbered
unaccustomed	unused
trouble	cloud
thin	tenuous
artificial	bleach
unrestrained	unbridle
close	intimate
disreputable	louche
insensitive	dull
point	peak
simple	sagittate
powerless	low-powered
lively	breezy
immature	inchoative
safe	fail-safe
incomprehensible	opaque
unclassified	nonsensitive
organize	arrange
pattern	lace
woody	birch
depressant	narcotic
superficial	skin-deep
synchronous	coetaneous
due	collectible
reciprocal	correlative
audible	sonic
illegitimate	adulterine
arm	barb
dynamic	high-octane
painful	sensitive
slow	lentissimo
curve	incurvate
compound	pinnatifid
intensify	heighten
synonymous	substitutable
clothe	tog
minimal	nominal
informal	free-and-easy
sight	argus-eyed
even	flat
complete	good
sociable	companionable
close	nonopening
cover	peritrichous
trouble	mothy
record	register
serviceable	durable
covert	collusive
rich	deluxe
round	rotund
supernatural	metaphysical
undeveloped	vestigial
adroit	deft
young	tender
secure	fail-safe
intolerable	impossible
order	progressive
free	autonomous
unpaid	buckshee
publicize	advertise
large	medium-large
useless	inutile
abundant	ample
unstable	top-heavy
feather	plumelike
long	eight-day
noble	princely
fancy	damascene
large	king-size
capture	catch
sharp	acute
comfortable	homelike
late	posthumous
alarm	awful
crook	contort
excite	glamorous
decrease	ablate
distill	purify
hopeless	abject
untroubled	dreamless
immature	adolescent
please	chuff
supernatural	elfin
unready	unripe
attach	intend
back	low-backed
obstruct	stuffy
colorless	pasty
involuntary	force
evil	atrocious
available	gettable
unloved	loveless
wear	tattered
sharp	razor-sharp
nourish	well-fed
untrained	undisciplined
responsive	answer
incalculable	incomputable
imperative	clamant
noxious	baneful
tough	callous
oppose	conflict
conceal	secret
conscious	semiconscious
stable	stabilize
competent	able
alive	vital
succeed	back-to-back
adorn	tufted
unproductive	dry
essential	virtual
restrictive	sumptuary
antecedent	preexistent
unreal	make-believe
unfit	maim
persuasive	cogent
curve	upcurved
ill	airsick
wrong	wrongheaded
periodic	daily
restrict	off-limits
rest	fresh
fruitful	round-fruited
advantageous	discriminatory
hopeless	forlorn
long	long-run
dead	breathless
sharp	file-like
provincial	jerkwater
beautiful	dishy
compatible	congenial
melt	fusible
late	tardive
thick	thicken
abundant	exuberant
stupid	lumpish
implicit	silent
superior	supreme
rust	rusty
unfashionable	out
unsteady	palpitant
old	dodder
general	general-purpose
aft	after
euphoric	euphoriant
artful	design
strong	virile
susceptible	liable
provocative	charge
stand	still
hairy	lanate
invigorate	exhilarate
generous	big
large	overlarge
wear	erode
light	luminescent
south	southerly
dark	tenebrous
surface	grade-constructed
change	denature
impure	bastardize
immature	pubescent
experience	season
voluntary	uncoerced
increase	redouble
wing	slender-winged
robust	beefy
standard	regular
compose	unflurried
unhealthy	sore-eyed
incline	atilt
hot	tropical
manageable	direct
ineligible	undesirable
unsteady	shaky
smooth	even-textured
tangible	tactile
expect	matter-of-course
fix	fast
long	time-consuming
personal	individualize
pattern	figure
exploratory	search
trouble	haunt
excite	crazy
front	face
asexual	vegetal
dynamic	projectile
desirous	covetous
shapely	retrousse
current	topical
worse	worsen
antiseptic	aseptic
hairy	smooth-haired
active	bustle
current	up-to-date
tangle	mat
reputable	redoubtable
destructive	iconoclastic
impermissible	unmentionable
guilty	bloodguilty
right	ethical
paternal	paternalistic
passionate	fanatic
fall	soft
different	antithetic
increase	incorporative
afraid	hunt
timid	mousy
fatty	adipose
leaky	drafty
divide	tear
recover	find
will	glad
cardinal	forty-two
tasty	flavorful
reverent	adore
brunet	brown
open	agaze
indirect	hearsay
hard	calculate
form	tadpole-shaped
score	scar
hot	swelter
bad	cork
alcoholic	wet
assist	motor-assisted
gloved	gauntleted
unlawful	wrongful
emotional	little
early	aboriginal
fragrant	odoriferous
top	upper
cut	slash
confident	self-assured
unfriendly	beetle-browed
out	down
good	goodish
harmonious	on-key
painful	ache
retard	cretinous
hot	fiery
immature	prepubescent
stress	emphatic
early	advance
alkaline	basic
fuel	clean-burning
angry	livid
cook	fry
classify	eyes-only
unenthusiastic	halfhearted
unorthodox	dissentient
spirit	boisterous
incomplete	break
hairy	wooly
tidy	shipshape
theoretical	abstract
fractional	half
uninteresting	bore
stimulative	analeptic
free	liberate
empty	void
strange	antic
fastidious	dainty
dishonorable	black
certain	indisputable
dishonest	deceitful
unhealthy	varicose
friendly	neighborly
uncontrolled	torrential
collective	knockdown
blind	protanopic
dishonorable	unprincipled
inward	indwell
tire	bore
leafy	petallike
frequent	regular
bad	last
provocative	incendiary
blemish	mar
arm	long-armed
weave	plain-woven
impractical	unwieldy
complex	labyrinthine
alert	argus-eyed
obligate	indebted
holy	consecrate
physical	bodily
curve	serpentine
uneven	pebble-grained
fruitful	bountiful
dirty	dirty-minded
offer	extend
homosexual	tribadistic
multilateral	joint
racial	interracial
cubic	blockish
eager	impatient
passable	negotiable
seedy	black-seeded
web	palmate
toothed	toothy
lengthwise	axial
impervious	mothproof
supernatural	eerie
competitive	match
hot	calorifacient
nourish	full
declare	announce
worthy	quotable
complete	all-or-none
recoverable	redeemable
brunet	dark-haired
last	sunset
prepare	equip
neurotic	schizoid
skilled	versatile
know	better-known
unstoppable	unbeatable
bright	twinkle
human	earthborn
motivate	actuate
obstruct	deadlocked
inaudible	unheard
random	haphazard
hot	overheat
full	brimful
incomplete	rudimentary
inconsistent	discrepant
bloody	gory
automatic	autoloading
successful	self-made
qualify	limit
surprise	jiggered
unrestrained	unbutton
color	crimson
lucky	hot
subjective	unobjective
cardinal	eighty-five
round	moonlike
catch	get
consume	take
content	satisfy
optional	facultative
match	harmonize
idle	bone-idle
informal	folksy
direct	upfront
undignified	pathetic
top	topmost
cardinal	eighty-two
twitch	jerk
serious	real
indulgent	intemperate
blond	nordic
distinct	chisel
classify	secret
visible	microscopic
profane	laic
robust	big-chested
gracious	elegant
package	prepackaged
neurotic	psychosomatic
cardinal	fifty-eight
enclose	box
unite	suprasegmental
large	bouffant
wet	showery
shade	hatch
balance	self-balancing
fresh	fresh-cut
susceptible	predispose
ride	drive
bind	pinion
form	fan-shaped
thrifty	penny-wise
vulnerable	threaten
cardinal	seventy-two
gradual	bit-by-bit
perceptive	acute
available	forthcoming
point	nibbed
fast	quick
centralize	consolidative
mobile	maneuverable
imperceptible	unobservable
uninhibited	earthy
make	urinate
run	ladder
colorful	vibrant
arrive	get
untrustworthy	devious
untidy	slouchy
unauthorized	self-appointed
sexy	juicy
dominant	possessive
clean	antiseptic
theoretical	metaphysical
common	grassroots
inhibit	smother
rough	sandpapery
fashionable	in
temper	sunbaked
fair	in-bounds
surprise	startle
superior	top-flight
playful	devilish
fuel	liquid-fueled
settle	deterministic
front	frontal
fruitful	red-fruited
potent	multipotent
rural	agrarian
eye	popeyed
simple	apiculate
specific	unique
invalid	invalidate
increase	raise
qualify	hedge
inside	wrong
sufficient	comfortable
obligatory	indispensable
alcoholic	dry
unprotected	naked
human	hominal
inhabit	colonize
blind	dim-sighted
operational	effective
weak	adynamic
active	activist
angry	indignant
destroy	wreck
basic	basal
revive	resuscitate
control	regiment
light	lighting-up
superior	weapons-grade
preserve	keep
abundant	teem
angular	angle
ill	sneezy
available	ready
burn	incinerate
unorthodox	dissident
abundant	verdant
unlimited	oceanic
combine	conglomerate
rough	cragged
spirit	mettlesome
rough	rimose
wild	unsubdued
size	eightpenny
form	hourglass-shaped
unprepared	spur-of-the-moment
beak	bill
insignificant	light
undiluted	concentrate
move	oncoming
pure	clean
power	battery-powered
responsible	trustworthy
adorn	inwrought
superior	choice
coil	convolute
please	gratify
identifiable	diagnosable
early	embryonic
new	novel
insignificant	inappreciable
helpful	face-saving
form	club-shaped
unmarried	divorce
ordinary	banausic
fruitful	breed
metallic	metallike
stubborn	strong-minded
old	age
encourage	rally
counterfeit	pseudo
causative	activate
progressive	advance
honest	downright
impressive	signal
anonymous	nameless
friendly	comradely
tough	fibrous
melt	thaw
noisy	creaky
down	downward
power	steam-powered
better	remedial
bear	hold
round	ball-shaped
undemocratic	monarchal
cream	thrash
blind	color-blind
punitive	penal
inward	self-whispered
indirect	mealymouthed
burden	lade
dangerous	chancy
large	grand
low	depress
quantitative	numeric
carry	impart
cover	blanket
cardinal	forty-three
reassure	comfort
wide	deep
sharp	carnassial
demand	exigent
simple	ensiform
discriminate	good
seedy	three-seeded
additive	accumulative
competent	effective
conscious	sentient
rib	costate
regular	official
alarm	appal
popular	fashionable
low	low-growing
continuous	dog
unsteady	wobble
dependent	interdependent
friendly	cozy
coherent	seamless
nonviolent	passive
humorous	droll
resolute	single-minded
uninformed	uninstructed
rural	country-bred
leave	leftish
deductible	allowable
consider	study
unaltered	unreduced
dark	dim
empty	empty-handed
regular	uniform
intense	intensify
animate	enliven
present	ever-present
fortunate	well-off
compassionate	care
alter	adjust
border	sawtoothed-edged
organize	configure
unprepared	ad-lib
head	headlike
masculine	butch
segregate	isolate
wide	bird
separate	unaccompanied
meager	hand-to-mouth
critical	hypercritical
form	bacillar
pattern	moire
idle	leisured
polite	mannerly
dirty	filthy
comfortable	cozy
skilled	arch
untangle	disentangle
western	west-central
match	one-to-one
round	nutlike
obvious	transparent
proprietary	trademark
ill	paraplegic
unsteady	flicker
strong	industrial-strength
abnormal	freakish
unknown	chartless
brood	hatch
late	new
strong	robust
crook	zigzag
dynamic	can-do
distribute	splash
inferior	base
incongruous	ironic
evergreen	coniferous
compound	pedate
increase	accretive
quantitative	duodecimal
agitate	wild-eyed
unhealthy	gangrenous
fragrant	musky
eastern	southeastern
rough	lacerate
understand	appreciate
repel	drive
energetic	high-energy
tolerant	unbigoted
supernatural	eldritch
resolute	stalwart
fortunate	good
cut	chop
intractable	balk
metallic	gold
indulgent	overindulgent
extant	live
advantageous	plus
form	thimble-shaped
fat	blubbery
replace	supplant
overt	undisguised
uninformed	clueless
inflexible	die-hard
inoperative	defunct
deep	heavy
valuable	blue-chip
mobile	ambulant
unfinished	unended
usual	chronic
superior	arch
east	easterly
invisible	camouflage
impressionable	easy
tough	tough-minded
ugly	unlovely
descend	degressive
unwieldy	awkward
ultimate	crown
susceptible	allergic
proprietary	patent
uninterested	apathetic
curtain	drape
preserve	protect
combustible	flammable
sugary	sugar
important	consequential
pure	axenic
qualitative	soft
cold	frigid
leave	admit
direct	bluff
indirect	devious
incoherent	confuse
artificial	arrange
speak	tongue
invalid	bad
treat	dress
conceal	seal
distribute	separate
ultimate	supreme
hot	white
invigorate	animate
round	discoid
probable	equiprobable
whole	full-length
unsuccessful	hitless
prospective	likely
cook	burn
oblique	crabwise
autumnal	late-ripening
harmonious	consonant
metallic	bimetal
steady	sure
true	sure
discourage	daunt
pattern	white-blotched
radioactive	hot
wholesome	hearty
explicit	declare
uncertain	contingent
irregular	asymmetrical
unpainted	unrouged
protect	moated
headless	acephalous
implicit	unexpressed
coil	involute
round	pillar-shaped
east	easternmost
difficult	awkward
worthy	meritorious
instructive	expository
hunt	run
clothe	breeched
unsuccessful	scoreless
pave	made-up
form	turnip-shaped
cloudy	fogbound
theatrical	showy
inedible	poisonous
unkind	unkindly
neck	necklike
raise	provoke
form	w-shaped
indecisive	suspensive
intense	deep
professional	profess
hot	calefactory
incomprehensible	indecipherable
senior	elder
foreign	abroad
religious	churchgoing
glorious	illustrious
tight	snug
increase	exaggerate
serious	sober
operative	operational
settle	nonnomadic
impressive	astonish
feminine	maidenlike
attributable	traceable
finish	fatten
sensational	lurid
sociable	social
unnoticed	disregard
elegant	neat
impassable	unsurmountable
intelligent	apt
extant	survive
extrinsic	external
empirical	semiempirical
fine	small
deep	profound
unhelpful	unaccommodating
treat	fume
declare	profess
independent	individual
unnecessary	inessential
theoretical	priori
heavy	hefty
unscripted	ad-lib
sharp	knifelike
present	omnipresent
extrinsic	extraneous
playful	coltish
unwanted	uncalled-for
artificial	factitious
round	pancake-like
military	warlike
unaffected	lifelike
low	low-level
master	operate
back	straight-backed
lose	go
deductive	deducible
tense	unrelaxed
compound	incise
joyous	gay
respectable	upstanding
endemic	enzootic
unimpressive	unimposing
sell	sold-out
dry	air-dry
productive	arable
beautiful	scenic
beneficent	benefic
practical	interoperable
touch	graze
inexperienced	unseasoned
bad	unsuitable
emotional	funky
finite	impermanent
know	proverbial
guilty	criminal
fine	dustlike
unstable	tipsy
equal	isoclinal
instructive	preachy
natural	physical
adorn	beady
colorful	noisy
sit	seat
expedient	advantageous
compose	collect
implacable	grim
disorderly	raucous
young	boyish
bold	daredevil
connect	conterminous
bright	glimmery
private	semiprivate
disrespectful	contumelious
small	bitty
dark	caliginous
body	short-bodied
multiple	double
unkind	cut
inferior	low-level
western	southwestern
insignificant	flimsy
foreign	unnaturalized
subsurface	subterranean
valid	bind
cardinal	forty-six
intend	well-intentioned
linear	lineal
formal	positive
write	longhand
leave	exit
lipped	thick-lipped
resolute	undaunted
purify	antiseptic
cardinal	thousand
humorous	buffoonish
automatic	self-acting
humane	child-centered
prepare	up
report	cover
high	screaky
incorrect	erroneous
simple	pandurate
colorless	pale
noncommercial	blue-sky
hostile	antagonistic
receptive	admissive
violent	slam-bang
regular	time
humorous	seriocomic
native	connatural
classify	confidential
comprehensive	schoolwide
inquire	fact-finding
enclose	self-enclosed
plain	simple
settle	preconcerted
elastic	rubbery
covert	secret
worldly	materialistic
elegant	deluxe
enthusiastic	overenthusiastic
order	consecutive
unnecessary	excess
incompetent	feckless
prudent	provident
form	v-shaped
apologetic	self-deprecating
cardinal	four
cyclic	bicyclic
figurative	synecdochic
long	bimestrial
misuse	abuse
rough	abrasive
segregate	sequester
modest	decent
unoccupied	spare
posterior	retral
esoteric	mysterious
head	large-headed
carnivorous	piscivorous
complete	full-dress
unexpected	upset
unhealthy	arthritic
wing	small-winged
expect	due
extraordinary	great
multiple	triune
disorderly	mobbish
determine	ascertain
unprotected	unshielded
admissible	admittable
creative	fictive
optimistic	rose-colored
trouble	troublous
sharp	salt
dull	bovine
intertwine	twine
move	restless
loud	big
trustworthy	creditworthy
adorn	tasseled
brunet	dark
unfit	soft
large	large-scale
invigorate	brace
unloved	disinherit
cover	plaster
crook	warp
detach	freestanding
cloudy	miasmal
divide	three-pronged
individual	respective
artificial	ersatz
write	engross
detect	hear
harmful	bad
inform	educate
obedient	dutiful
unrealistic	phantasmagoric
uncommitted	fancy-free
peripheral	circumferential
variable	covariant
thin	filamentous
outer	satellite
nasty	grotty
unaltered	dateless
antiseptic	uninfected
cold	frosty
unsettle	homeless
unsanitary	unhygienic
fallible	undependable
elastic	elasticized
exploratory	wildcat
ill	afflict
healthful	anthelmintic
mark	asterisk
dirty	augean
up	dormie
integrate	co-ed
west	westerly
empty	lifeless
thin	depress
dead	asleep
claim	necessitate
hairy	tomentose
aesthetic	cosmetic
lax	floppy
unknown	little-known
rough	bullate
painful	traumatic
permanent	ageless
beautiful	picturesque
inhospitable	hostile
rugged	sturdy
questionable	allege
trouble	disquiet
indeterminate	racemose
masculine	mannish
comprehensive	plenary
size	squirrel-sized
sympathetic	empathic
expire	invalid
destructive	ravage
beak	duckbill
smooth	velvet
long	longstanding
linear	linelike
dirty	begrime
cardinal	zero
chaste	celibate
act	play
slippery	nonstick
belt	band
adjust	weight
cardinal	seven
awkward	gawky
angry	huffy
permanent	indissoluble
dry	medium-dry
ill	paralytic
causative	precipitate
audible	sound
tangle	entangle
positive	constructive
solid	massive
all	every
shallow	neritic
difficult	fractious
irresistible	overpower
punctual	prompt
odorless	scentless
conventional	button-down
tender	chewable
wear	age
fruitful	fat
offensive	maraud
restrictive	limit
endow	dower
pattern	yellow-striped
noisy	stertorous
incomparable	all-time
patient	forbear
light	airy
regressive	retrograde
irreligious	atheistic
impervious	soundproof
good	fit
foolish	fond
ill	milk-sick
violent	lurid
inhibit	pent-up
uninteresting	insipid
changeable	astatic
cross	crosstown
military	expeditionary
treat	activate
sympathetic	commiserative
concrete	real
enthusiastic	crazy
harmful	calumniatory
state	say
guilty	punishable
uninjured	unharmed
cautious	gingerly
other	otherwise
bind	well-bound
patient	unhurried
essential	constituent
compose	cool
docile	yield
adroit	quick-witted
tense	antsy
please	easy
alert	fly
general	broad
restrain	low-key
large	voluminous
no	none
foolish	harebrained
horn	hollow-horned
form	harp-shaped
hard	harden
questionable	apocryphal
divide	bifid
tough	weather-beaten
important	copernican
unprocessed	stream
unsteady	shudder
malicious	venomed
lipped	labiate
cardinal	one
unlisted	ex-directory
lively	bubbly
indistinct	veil
negative	antagonistic
act	dissemble
afraid	mysophobic
refine	ladylike
humorous	tragicomic
damage	knocked-out
urban	citify
power	power-driven
unite	federate
heavy	harsh
periodic	cyclic
active	open
undetected	undiscovered
cardinal	forty-eight
better	corrective
tire	jade
helpful	facilitatory
incorrect	fallacious
invisible	nonvisual
much	such
early	incipient
full	rich
impossible	impracticable
intelligent	scintillate
ill	bedfast
perfect	mint
dramatic	hammy
aggressive	predatory
distant	deep
soft	soft-footed
intense	strong
politic	expedient
edible	killable
plant	self-seeded
revive	redux
proud	big
cold	heatless
light	livid
new	parvenu
docile	meek
enclose	embed
relate	agnate
unwanted	unclaimed
unpaid	complimentary
acknowledge	declarable
seductive	tease
interest	newsworthy
fit	suitable
large	ample
smooth	unnotched
comprehensive	countywide
trim	clip
dishonest	beguile
body	narrow-bodied
capitalistic	individualistic
adjust	well-adjusted
agitate	jolt
desirous	homesick
poor	beggarly
impound	sequester
happy	bless
certain	doom
feminine	fair
face	baby-faced
pattern	dot
size	sort
uncertain	chancy
uncomfortable	irritate
extraordinary	frightful
patient	endure
mobile	motile
