print	publication
interrogate	question
support	accompaniment
equalize	equalizer
rat	deserter
triumphant	prevail
appreciative	gratefulness
hapless	pity
incarnate	embodiment
reformer	reformism
motivate	propulsion
toxic	toxin
begin	start
irritate	discomfort
amputate	amputation
flat	flattery
declarative	announce
healthy	health
exuberant	luxuriance
flip	turnover
rout	dent
intangible	intangibility
howl	lament
vacate	resignation
english	anglicise
twist	distortion
trumpet	trumpeter
pardon	amnesty
devious	deviousness
rabbinical	rabbi
wearable	wear
outfielder	outfield
ruin	dilapidation
disappear	vanisher
bend	bender
decline	descent
chaotic	chaos
vomit	emetic
adopt	follow
irresistible	irresistibility
stuff	blockage
woo	court
conduct	transaction
compare	comparison
find	finder
nasty	cattiness
rush	speed
enter	participant
iconic	icon
model	simulation
produce	creation
criminal	crime
amenable	amenability
rape	outrage
ordain	enactment
stimulate	energize
apt	aptness
careful	parsimony
atrocious	monstrosity
legitimate	legalization
reverent	reverence
expatriate	exile
irresponsible	irresponsibility
blackmail	blackmailer
obstruct	hindrance
delinquent	delinquency
grumble	rumble
talk	speaker
desegregate	integration
indecent	indecorum
deft	adeptness
cellular	cell
deadly	deadliness
harm	damage
embody	shape
explode	plosion
shatter	smash
laud	glorification
prophetic	prophet
unpleasant	unpleasantness
ejaculate	ejaculator
action	lawsuit
apologize	apology
inflict	imposition
seaworthy	seaworthiness
inauspicious	inauspiciousness
nip	clipper
neglect	disregard
whack	walloper
reach	arrival
devolve	deterioration
catalan	catalonia
deluxe	impressiveness
beat	beater
worry	care
absolutist	dictatorship
run	flow
sift	sieve
eliminate	annihilation
minister	curate
commune	communion
hypocritical	hypocrisy
deliver	deliverer
have	feature
flamboyant	flamboyance
generational	coeval
love	affectionateness
remove	remover
discharge	release
cogent	weight
pave	sidewalk
tempt	allure
boric	boron
postal	mail
diarist	diary
show	demonstrator
stock	stockpile
eurasian	eurasia
modify	modifier
slick	slickness
teacher	teachership
unlawful	wrong
sorcerer	sorcery
love	lover
abusive	abuse
veterinary	veterinarian
preparatory	organize
scan	scanner
livid	lividity
troll	angler
few	fewness
deduce	deduction
revoke	abrogation
game	mettlesomeness
scholarship	scholar
abduct	abductor
electrostatic	electrostatics
adequate	adequacy
jumble	confusion
obtuse	obtuseness
steady	steadiness
norwegian	norway
seal	sealant
childlike	child
cater	caterer
courteous	graciousness
flimsy	flimsiness
transplant	transferer
invest	coronation
pose	impersonation
wipe	wiper
quantify	quantification
porous	pore
choose	predilection
evocative	recall
vascular	vascularize
salute	salutation
tanzanian	tanzania
appalachian	appalachia
consolidate	consolidation
vivid	color
radial	radius
depress	dejection
default	nonpayment
gastric	stomach
consume	squander
joyful	joy
clog	obstruct
probe	examination
didactic	education
lacy	web
encapsulate	encapsulation
capture	enchantment
traditional	custom
instill	instillation
depreciate	depreciation
cover	coverage
impress	impression
breed	breeder
howl	wailer
radiate	radiance
gay	homosexual
replace	substitution
hideous	repel
president	presidency
cathedral	cathedra
vary	variability
arch	bow
tell	evidence
recover	recovery
obstruct	obstruction
bare	sparseness
determine	determination
dab	tap
stormy	storm
collaborator	collaboration
chase	pursuer
vital	indispensability
slog	pad
diplomatic	diplomacy
neutralize	murderer
skin	pare
issue	exit
common	mutuality
complacent	complacency
laugh	joke
inexact	inexactness
convalescent	convalescence
portray	portraitist
trustworthy	confidence
invalidate	annulment
impart	carry
revoke	reversal
frontal	front
essential	necessity
insoluble	unsolvability
serve	server
close	shut
go	pass
depart	departure
musicologist	musicology
puritanical	puritanism
color	semblance
pure	virginity
dominate	mastery
swear	testifier
ordain	ordainer
lament	elegy
approve	approbation
relieve	palliation
amiable	good-temperedness
coincident	concurrence
trample	trampler
implant	plant
narrow	narrowness
accelerate	acceleration
outlaw	criminal
regenerate	re-formation
hoof	hoofer
nag	scold
pretty	prettiness
mellow	fullness
licentious	profligacy
charitable	charitableness
check	arrest
trade	sell
relocate	resettlement
indulgent	softness
suppose	guess
pictorial	picture
serve	dish
rebel	maverick
lean	pitch
unambiguous	unambiguity
naive	naivete
submissive	submissiveness
unify	merge
open	hatchway
shanghai	impress
deck	adornment
archaic	crudeness
unionize	organizer
tease	tantalus
cagey	wariness
criminal	criminalism
define	shape
act	play
insistent	imperativeness
capricious	notion
dress	attire
gap	open
disclose	exposure
explicit	explicitness
bombastic	pretentiousness
anesthesiologist	anesthesiology
intersect	intersection
associate	association
cheat	swindler
knock	knocker
watch	seer
transmit	sender
materialistic	materialism
design	architect
click	tick
submit	deference
explode	explosion
retain	lengthiness
release	relinquishment
deal	dealer
propagate	generation
lubricate	lubricant
late	lateness
apt	brightness
jump	bounder
research	inquiry
pronounce	articulation
race	racer
brackish	brine
emotional	emotionality
project	projection
fade	atrophy
act	roleplay
absorbent	absorbency
dead	apathy
circulate	propagation
license	licensee
hate	abhorrence
camouflage	disguise
beat	conqueror
dismay	alarmist
candid	heart-to-heart
filthy	dirt
cure	harden
revolt	revolution
speculate	guess
ape	apery
oppressive	absolutism
convenient	appliance
slump	depression
disperse	scatter
exemplify	typification
climb	climber
renovate	renovation
culminate	apogee
clear	clearness
dust	debris
different	differ
pave	pavement
errant	errancy
powder	fineness
steam	haziness
bear	carrier
emotionless	unemotionality
stipulate	stipulation
deck	beautification
cry	weeper
profound	profoundness
rub	abrasion
commemorate	commemoration
refractive	refract
big	gravidity
plaster	plasterer
beat	rhythm
annoy	plague
bend	flexion
warm	heater
brassy	shoddiness
develop	evolution
peck	beak
prohibition	dry
skate	skater
determine	regulation
childless	childlessness
conduct	hand
repel	repellent
divest	divestiture
extreme	utmost
intercept	catch
politics	politician
tease	pest
pat	opportuneness
barb	spine
vibrate	shake
settler	colony
perfume	perfumery
outspoken	frankness
check	chink
present	presentness
light	illuminance
septic	sepsis
current	currentness
rat	rotter
revive	revival
lecture	lectureship
gynecological	gynecology
wiretap	bug
crush	crusher
fleet	fleetness
rope	leash
inquisitive	investigate
change	version
evert	inversion
grudge	niggard
fix	set
sociable	sociability
diffuse	dispersion
misty	haziness
choke	garroter
string	chain
constitutionalist	constitutionalism
infuriate	infuriation
mature	growth
ethical	ethic
swerve	course
diabetic	diabetes
insubstantial	insubstantiality
pound	impoundment
broad	liberality
surgical	surgery
wonder	wonderer
invite	invitation
use	user
opponent	adversary
disburse	spender
skid	skidder
confess	confession
fence	fencer
urge	pressure
ski	skier
smile	smiler
relapse	recidivism
entrust	trust
ill	inauspiciousness
faithless	treason
crisp	chip
respiratory	breathe
argue	reasoner
enthusiastic	enthusiasm
fantastic	magnificence
substitute	deputy
passionate	passion
bantam	petite
communicative	communicate
lonely	forlornness
false	falsity
extraneous	immateriality
parcel	parcellation
atrocious	frightfulness
partner	partnership
coarse	harshness
necessitate	necessity
sharp	asperity
dream	reverie
conscious	consciousness
muscular	muscle
look	spirit
spiral	helix
disappear	vanish
tutorial	coach
massacre	slaughter
futuristic	futurism
light	agility
testify	witness
average	averageness
supply	provision
supportive	support
pleasant	please
project	hurl
feel	barbel
flee	escape
expeditious	dispatch
rest	rester
sear	scorch
restrictive	restrict
moderate	reasonableness
discover	inventor
resist	defender
audit	auditor
consist	consistency
exhaust	exhaustion
consensual	consensus
agree	harmony
sprint	dash
strain	tension
consume	waste
suffice	enough
bore	drill
hygienic	hygiene
godly	fear
buddhist	buddhism
offensive	offensiveness
rout	gouge
skin	abrasion
apologize	apologist
synonymous	synonymy
electrify	electrification
satisfactory	satisfy
calculate	figure
resonant	plangency
forbid	interdict
newsworthy	newsworthiness
inhale	inhalation
cut	cutter
decorate	decorator
precede	foreword
adoptive	adopt
organize	constitution
atrocious	atrocity
abrogate	abrogation
reason	wisdom
enumerate	list
score	mark
mastermind	originator
torrential	flood
cross	sweep
please	joy
persuasive	persuasiveness
compose	component
momentous	momentousness
converge	convergence
float	drift
fleece	shearer
provide	caterer
islamist	islamism
bottomless	bottomlessness
mortal	person
sour	sourness
potter	ceramic
blasphemous	profanation
defender	guardianship
stonewall	stonewaller
encroach	trespass
inquisitive	curiousness
tall	tallness
preserve	preserver
innocent	artlessness
careful	carefulness
kind	digest
connect	link
previous	prematureness
judicious	wisdom
feisty	heart
capitalize	capitalization
bulwark	rampart
lease	charter
fickle	faithlessness
defender	protectorship
blast	barrage
play	playlet
bag	sack
inflame	heat
economic	economy
charitable	kindliness
perceive	comprehension
tar	pitch
ferocious	ferociousness
stock	stockist
tap	tapper
crimp	kink
awaken	waker
relax	relaxer
stress	dialect
central	centrality
tubular	cannula
antagonistic	antagonism
restrict	limitation
unwise	folly
involve	participation
dizzy	dizziness
animate	revival
circulate	dissemination
curious	curio
shakespearian	shakespeare
liberian	liberia
racial	race
spend	spender
chronicle	chronicler
yugoslavian	yugoslav
crusade	energy
open	opener
break	breakage
joint	jointer
straight	heterosexuality
symbiotic	symbiosis
spice	spiciness
wonder	curiosity
graceful	gracefulness
practice	use
entangle	tangle
attract	appeal
gutsy	gutsiness
confidential	confidence
flaunt	exhibitionist
rig	rigger
water	irrigation
hint	suggestion
adjust	conformist
tenant	occupancy
brainstorm	insight
green	greenness
constrict	constriction
chop	chopper
arduous	arduousness
metatarsal	metatarsus
audacious	boldness
chubby	chubbiness
back	supporter
breeze	cinch
patron	sponsorship
lease	renter
shout	bellow
honk	honker
perfume	aroma
cardinal	cardinalship
assert	asserter
arthritis	arthritic
light	lightness
rest	breathe
sensual	sensuality
outback	farness
spell	mean
speculate	speculation
enterprising	enterprise
penetrate	perforation
perch	roost
edgy	edginess
crystallize	crystal
socialist	socialism
revise	rewrite
install	facility
opportunist	opportunism
fool	chump
imprison	jail
stagnant	stagnation
waste	prodigal
discredit	disrepute
churn	turbulence
jab	dig
asexual	asexuality
slippery	slickness
cozy	coziness
stand	stance
thin	sparseness
behave	behavior
machine	machinery
dress	stableman
empirical	empiricism
watch	observation
expect	waiter
creamy	creaminess
grave	weight
flashy	garishness
wrestle	wrestler
paw	hand
go	departer
joyous	joy
bright	brightness
differentiate	difference
dependable	loyalty
review	recapitulation
periodic	period
transfer	transferer
foolhardy	head
corrupt	violator
godly	idolize
demolish	demolition
distribute	allotment
sweat	perspiration
conflict	misdemeanor
oppressive	burdensomeness
vanish	vanisher
disgust	offensiveness
custodial	hand
yodel	descant
apprehensive	apprehend
divest	disinvestment
swell	intumescence
dangle	swing
stifle	stifler
humble	humility
humiliate	chagrin
neutralize	neutralization
truant	truancy
assertive	assert
retire	retirement
expose	exposure
leak	leaker
uninfected	cleanness
deceitful	fraud
salesman	salesmanship
calm	hush
clement	clemency
pollster	poll
commercialize	market
imperial	empire
luminescent	luminesce
electrify	wire
transcendent	exceed
californian	california
audible	audibility
spare	sparseness
feeble	lameness
conform	conformity
subjugate	conquest
cosmetic	ornamental
plant	set
marvel	wonder
disembark	debarkation
segregate	segregation
active	activity
human	homo
psychopathic	psychiatry
confront	confrontation
jerk	flick
managerial	director
sticky	stickiness
static	constancy
individual	individuality
exit	farewell
wobble	wobbler
bouncy	resile
divergent	diverge
win	winning
good	melioration
bore	woodborer
tide	billow
script	booklet
segment	section
optometrist	eye
concoct	confection
monumental	monument
prophetic	prophecy
autoimmune	autoimmunity
prosecute	pursuance
northeasterly	northeast
televangelist	televangelism
gravitate	gravitation
paternal	paternity
elapse	lapse
impassive	emotionlessness
originate	newcomer
hot	hotness
phonetic	phone
mourn	mourner
male	maleness
tag	label
bouncy	liveliness
bail	bailor
responsive	antiphonary
chuck	tap
discernible	note
dermal	dermis
boisterous	ferocity
sketchy	sketch
blasphemous	blasphemy
sensible	feel
repel	rebuff
rape	raper
diplomatic	delicacy
right	rightness
meld	canasta
interconnect	interconnection
miserable	misery
allergic	allergy
regard	gaze
maximize	maximum
relegate	class
flip	pass
domestic	domesticity
modify	changer
develop	development
watch	spectator
haul	drag
statistician	statistic
deflect	diversion
masturbate	tosser
puffy	intumescence
tropical	tropic
disperse	dispersion
divine	godliness
handicap	hindrance
fissure	crevice
defend	representation
slip	slump
cultural	acculturation
flow	flowage
receive	receiver
secrete	secretion
note	mentioner
print	printer
milky	milk
disconnect	disjunction
emanate	emission
get	apprehension
cloister	reclusiveness
expansive	inflate
abound	burst
creative	creativity
intolerant	intolerance
shadowy	apparition
despicable	unworthiness
assess	assessment
electromagnetic	electromagnetism
strip	undress
cleave	rent
handle	palm
vent	venter
mythic	myth
capricious	abnormality
pollute	pollutant
enlist	recruit
obscure	humbleness
remedial	redress
initiate	pioneer
accommodate	accommodation
hoax	prankster
episcopal	bishop
hoard	hoarder
err	mistake
web	net
philosophic	philosophy
harp	harmonica
angelic	seraph
compel	compulsion
air	transmission
readjust	readjustment
lurk	lurker
strenuous	arduousness
inopportune	inopportuneness
submersible	submerge
enact	portrayal
meek	apathy
heavy	heaviness
intimidate	bully
close	closeness
flexible	flexibility
curious	singularity
mince	moderation
abdicate	renunciation
lumpy	ball
rightful	right
disprove	rebutter
analogous	equate
sour	zymosis
circular	lap
accede	accession
lifeless	inanimateness
snuff	sniff
report	description
bestow	bestowal
probable	probability
efficacious	efficacy
membership	member
cram	crammer
float	floater
tube	pipe
reversible	revoke
sprinkle	spatter
darwinian	darwin
croak	croaker
weave	ramble
classify	sort
warn	admonition
voluminous	fullness
dart	dash
collar	apprehender
gulp	gulper
excessive	exceed
lend	loan
berth	moor
firm	stiffness
induce	inducement
degrade	degradation
certify	authentication
crafty	craft
asthmatic	asthma
indian	india
neutralize	nullification
trustworthy	trust
pleasant	pleasantness
pathological	pathology
spurt	flush
deal	transaction
centralize	centralization
gastronomic	gastronomy
endocrinologist	endocrinology
yawn	yawner
inflate	inflation
bounce	bouncer
confirm	documentation
evil	ferociousness
whittle	whittler
inhospitable	inhospitableness
candid	candor
trot	jog
find	discovery
meteorologist	meteorology
mental	mentality
statistical	statistic
attract	attraction
chase	tail
differ	difference
fire	discharge
polyglot	linguist
pacifist	pacifism
whisper	whisperer
sever	rupture
catholic	catholicism
sample	taste
tamper	imp
banish	relegation
inspire	ecstasy
defame	blot
stable	stability
deck	knockdown
catholic	universality
jerk	tug
rid	disembarrassment
carefree	carefreeness
confederate	confederation
median	medium
biological	biology
helpless	helplessness
mean	miser
italian	italy
mexican	mexico
cosmetic	enhance
adolescent	childhood
zest	spice
wharf	pier
positive	positivity
formulate	rule
point	arrow
consort	association
predominate	reign
enlist	draftee
appoint	appointee
amuse	laugh
design	invention
establish	constitution
excavate	excavation
infallible	infallibility
actual	actualize
furrow	groove
curl	kink
ardent	ardor
wind	winder
magnify	enlargement
discipline	bridle
ask	expectation
incumbent	incumbency
perceive	perceiver
rear	parentage
needy	neediness
reconcile	conciliation
falsify	falsification
collateral	validate
satanic	satan
crop	browse
cannibalistic	cannibal
designate	denomination
jive	swing
sack	plunderage
ride	drive
tinker	tinkerer
visit	visitor
advantageous	advantage
comb	unsnarl
seize	capture
rent	renter
contend	conflict
alter	alteration
assemble	hookup
wipe	rub
translate	interpreter
exchange	interchange
choral	refrain
enforce	enforcement
falsify	distortion
spot	smudge
titular	title
cock	hammer
restless	restlessness
simplify	reduction
deluxe	lavishness
armenian	armenia
measure	meter
rag	ragtime
absorb	occupation
possessive	possessiveness
sooty	smuttiness
offensive	hurt
ill	illness
good	humanitarian
slap	smack
kill	killer
dormant	listlessness
fortify	fortress
engage	operation
citizenship	citizen
reform	reformation
tidal	tide
capture	charmer
act	action
fertilize	fertilizer
uphold	upholder
deconstruct	deconstruction
allergic	hypersensitivity
uruguayan	uruguay
deny	denial
deductive	deduce
start	begin
write	writer
reinterpret	reinterpretation
chatty	talk
moldy	mustiness
limp	hobbler
yield	wage
pledge	subscription
humanitarian	humanity
appropriate	appropriator
denote	reference
melt	thaw
affluent	affluence
promote	aggrandizement
arm	weapon
adjective	procedure
induce	cause
froth	spume
clear	top
pounce	swoop
unsatisfactory	unsatisfactoriness
black	smuttiness
western	occidentalize
fijian	fiji
fasten	fastness
tend	attendant
potty	drunkenness
new	newness
georgian	george
participate	participation
naval	navy
lithuanian	lithuania
rice	ricer
store	stocker
bake	baker
condemn	condemnation
favor	favorite
stalk	prowler
humanist	humanism
rule	rein
fight	struggle
redemptive	deliver
documentary	document
overwork	exploitation
subordinate	subordination
inhabit	inhabitancy
precede	predecessor
fog	indistinctness
switch	shift
inactive	motionlessness
angle	angler
dunk	dip
bounce	pep
southern	southernness
ventricular	ventricle
bureaucratic	bureaucracy
quicken	animation
busy	fussiness
contradict	contradiction
pacify	peace
process	processor
magnify	magnification
persuasive	carry
spherical	sphere
close	completion
dirty	loathsomeness
adept	ace
percussive	percuss
waste	wastage
comb	comb-out
bind	affiliation
tacky	cohesiveness
stone	rock
sacred	sacredness
politic	blandness
predict	prophecy
technician	proficiency
break	development
lead	best
prepay	prepayment
ascend	ascent
vanish	disappearance
curse	hex
motorbike	cycle
hiss	hisser
regressive	regress
screen	screener
casual	carefreeness
modest	reasonableness
stalinist	dictatorship
modal	mood
dissimilar	dissimilarity
grind	grounder
affectionate	affectionateness
symmetrical	symmetry
senatorial	senator
accurate	exactness
hold	carriage
coincident	simultaneity
attend	attention
lounge	recliner
unholy	unholiness
popularize	popularization
surfboard	surfer
effective	effectiveness
flash	blinker
suffer	sufferance
adventurous	adventurousness
issue	supply
disband	disbandment
anticipatory	predict
itinerant	itinerate
chaste	virtue
align	alliance
stable	constancy
silent	silence
load	stevedore
voice	articulation
check	containment
merciless	mercilessness
prolong	extension
match	matchmaker
rehabilitate	rehabilitation
sound	audio
adorable	adore
activate	activation
synchronize	synchronism
admit	admission
disparage	disparagement
swing	sweep
promenade	amble
fair	fairness
geometric	geometry
transgress	misdemeanor
anticipate	anticipator
pursue	follower
democratic	democracy
nosy	nose
haul	puller
raise	conjure
string	thread
columbian	columbus
hit	hitter
speak	talk
charge	burden
guarantee	guarantor
gracious	benignity
fail	failure
honk	beep
dampen	weakener
inconsolable	despondency
shoot	sprout
bag	packer
motivate	motivation
share	parcel
woolen	wool
physicist	physic
retard	retardant
preempt	preemption
purple	violet
blunt	bluntness
mastermind	organization
bland	flatness
testimonial	recommendation
clue	clew
ravel	tangle
grind	mash
promise	promiser
repair	mender
state	affirmation
theorist	theory
propel	impeller
scour	abrader
mile	miler
dependent	depend
abnormal	abnormality
bitter	resentment
eerie	eeriness
reproduce	reproduction
disqualify	disqualification
ritualistic	ritualism
satirical	sarcasm
apocalyptic	apocalypse
conclusive	reason
harmonious	commensurateness
sign	ratification
familiar	familiarity
easy	wanton
purify	purge
box	packer
necessary	necessity
shape	form
stack	stacker
conditional	conditionality
dunk	dipper
adjust	adjuster
brilliant	magnificence
connect	articulation
resolve	resolution
fee	feast
hold	support
reap	harvest
stimulate	stimulant
subjugate	national
apparent	appear
frontal	battlefront
restrict	shackle
chuckle	chortle
analytic	analysis
herd	crowd
cold	coldness
conventional	conventionality
puffy	tumidity
abdominal	abdomen
sure	sureness
quicken	quickener
reactionary	reaction
immobile	immobilize
lone	hermit
big	munificence
pink	ping
fatty	adiposity
consonant	harmony
academic	academician
stray	drift
probate	probation
correlate	correlation
androgynous	hermaphrodite
decay	putrescence
revoke	countermand
molar	molarity
drawl	drawler
thwart	frustration
honest	honorableness
cheer	cheerer
coin	neologism
fudge	falsification
topical	topic
terrace	patio
stumble	stumbler
rat	scab
effective	effect
oblige	obliger
coincident	coincidence
deck	decoration
frame	framer
voluminous	bulk
contribute	give
calculate	calculation
produce	producer
predate	antecedent
post	carry
mod	modernity
poach	poacher
sparkle	glitter
post	mark
recruit	recruiter
rank	superiority
repudiate	repudiation
identify	recognition
bare	fruitlessness
evangelist	revivalism
careful	slowness
frame	redaction
brawl	brawler
harsh	cruelty
seminarian	seminary
demonstrative	illustrate
emigrate	emigration
tread	trample
penitent	repent
disruptive	tumult
voyage	cruise
disagree	discord
happen	materialization
proximal	proximity
mellow	mellowness
rivet	riveter
allowable	permit
pass	bye
purge	catharsis
addictive	addict
immanent	subjectivity
accompany	escort
normalize	normalizer
nice	niceness
free	looseness
shapely	form
smack	thwack
pace	footstep
monogamous	monogamy
uncompromising	inflexibility
retaliate	retaliation
entrance	entrancement
continent	hold
match	agreement
unbalance	derangement
shave	graze
discern	delicacy
slow	slowdown
blasphemous	profaneness
crump	thump
shave	trim
judicial	judge
decide	decision
postulate	postulation
aggregate	sum
olympian	olympia
uproot	eradication
sidetrack	straggle
migrant	migrate
grave	graveness
limp	flabbiness
prior	priorship
depart	pass
intelligent	intelligence
evaporate	vapor
classify	class
proclaim	ecphonesis
scratch	engraver
waste	bonyness
turn	emergence
trade	trade-in
rub	chafe
memorize	memorization
reveal	revelation
traditionalist	traditionalism
motivate	act
orient	pointer
control	moderation
falsify	falsifier
invent	conceptualization
intellectual	cognition
equal	peer
roman	papist
bombastic	bombast
despondent	despond
careful	caution
redevelop	renovation
spatial	space
sulphuric	sulfur
defend	defender
quantifiable	quantifiability
crouch	stoop
procedural	procedure
brave	courage
inadequate	inadequacy
fly	flier
unresponsive	unresponsiveness
scurry	scamper
notice	sign
lifelike	naturalness
attend	attendant
demolish	pulverization
consume	consumption
critical	finality
rap	knock
consecutive	sequence
communist	communism
farcical	ridicule
copious	fullness
causative	cause
chauvinistic	chauvinist
decorate	decoration
insistent	insistence
personable	personableness
prevent	obviation
sun	sunlight
taiwanese	taiwan
guard	warder
plunge	submersion
paragraph	paragrapher
lead	eminence
direct	directivity
profound	profundity
molecular	molecule
drape	drapery
criminologist	criminology
invite	guest
apply	application
swing	rock
hypodermic	hypodermis
fight	combatant
shock	shocker
catalytic	catalysis
cartoonist	cartoon
lead	acme
murder	dispatch
put	set
fly	pilot
caroline	charles
forfeit	release
erase	destruction
constant	constancy
convertible	convertibility
celebrate	fame
sight	eyesight
impregnate	infusion
masculine	maleness
squawk	roarer
deviate	variation
discriminate	discrimination
vibrant	resonate
hasty	precipitate
roar	bellow
theorize	theorization
draw	lottery
butch	slaughter
lascivious	lecherousness
represent	representation
stray	straggler
smash	smasher
ape	copycat
indulgent	lenience
illegitimate	criminal
wallpaper	wallpaperer
halt	arrest
record	registrar
harbor	harborage
puddle	pool
motley	calico
seismologist	seismology
supplant	substitute
jeffersonian	jefferson
electronic	electronics
alarmist	alarmism
rickety	tremble
cheat	heist
impregnate	fertilization
bizarre	eccentricity
occupy	occupation
coin	coiner
bungle	blunder
deluge	flood
cleanly	cleanliness
levitate	levitation
elude	evasion
disparate	disparateness
justify	justification
innovative	innovativeness
yank	yanker
machiavellian	machiavelli
august	dignity
revolutionize	galvanizer
commandeer	highjacker
civil	politeness
announce	harbinger
intimate	inkling
glossy	polish
corrupt	pervert
bailiff	bailiffship
identifiable	identify
similar	similarity
dictate	dictator
reject	sneerer
downy	fluff
allowable	allow
assail	attacker
claim	arrogator
destitute	privation
race	runner
swing	lilt
fiddle	trivialize
weak	fail
register	registration
curse	swearer
long	longness
rent	charter
starve	hunger
trace	tracer
manly	man
residential	residency
outward	outwardness
purify	purity
picture	depiction
implant	implantation
crusade	champion
darken	blacken
hold	capacity
absorb	absorption
moralistic	moralism
stenographer	shorthand
slack	shirk
render	output
evocative	reminisce
cripple	lameness
haunt	obsession
moral	morality
popular	popularity
gaze	starer
spread	distribution
foul	polluter
weighty	heaviness
supplant	surrogate
squawk	whiner
lodge	hostel
state	statement
coptic	copt
exceed	transcendence
doubt	agnostic
false	falsehood
dock	pier
proclaim	proclamation
banter	facetiousness
composite	complex
sliver	pare
fabricate	storyteller
spot	blob
deceitful	craftiness
past	pastness
unintelligent	stupidity
confirm	affirmation
kneel	kneeler
pluralist	pluralism
shuck	chaff
calm	composure
syndicate	consortium
conceive	conception
banish	banishment
organize	administration
forgive	forgivingness
wind	bend
immature	immaturity
whiff	puff
estimate	guess
ooze	seepage
mouth	sass
liberate	autonomy
effeminate	effeminacy
bad	badness
ask	inquirer
recuperate	convalescence
sample	taster
stale	staleness
ulnar	ulna
sweeten	enhancement
nudge	prod
bungle	incompetence
agree	agreement
regenerate	regeneration
reformer	meliorism
captive	enslavement
unselfish	generosity
slump	sloucher
order	prescription
coherent	cohere
wash	rinse
subscribe	return
trace	line
deflate	deflator
bowery	arbor
make	pee
refer	applicability
evaporate	vaporization
please	pleaser
sharp	sharpness
endocrine	hormone
fee	feeder
highlight	highlighter
retire	strikeout
predate	precedent
sustainable	nourish
avaricious	greediness
dictate	dictation
trash	debris
sun	insolation
blatant	blare
think	guess
idiomatic	parlance
proprietary	owner
reinforce	strengthener
real	reality
derive	lineage
bid	bidder
firm	firmness
measure	valuer
retrench	retrenchment
chunky	dumpiness
grunt	grunter
bookish	study
drive	driveway
ridicule	rib
applicable	apply
burn	combustion
mean	form
research	seeker
twinkle	scintilla
preventive	prevent
list	lister
entrust	regent
evidential	evidence
high	mellowness
assure	aplomb
intend	destination
drag	puller
prefer	preference
adolescent	adolescence
weird	outlandishness
fly	aviator
fast	stationariness
shun	avoidance
fluctuate	swing
use	exploiter
dark	moroseness
establish	initiation
socialize	socialization
rigorous	severity
thoughtful	seriousness
pharmacist	drug
standardize	calibration
watch	perceiver
honorable	honorableness
beetle	mallet
repel	repulsion
chop	cleaver
uneven	unevenness
convertible	change
breathe	respirator
think	idea
tawny	tawniness
crop	pasture
clean	clearness
know	experience
heavy	thickness
voice	voicer
early	earliness
adamant	relentlessness
sift	sifter
align	alignment
stalk	stalker
flaw	blemish
char	scorch
hook	hooker
fleshy	corpulence
snap	center
contentious	dispute
prosthetic	prosthesis
acknowledge	acknowledgment
paw	pawer
classless	egality
earl	earldom
prefectural	prefecture
receivership	liquidator
jest	jocoseness
horn	tusk
preach	sermon
manage	treatment
affirm	affirmation
fiddle	shirk
contest	contestee
sensitive	tenderness
adorable	adorability
refute	disproof
cover	compensation
suffer	agony
balance	halter
adjourn	adjournment
gut	catgut
forgetful	obliviousness
ignorant	ignorantness
endeavor	enterprise
blossom	unfold
acceptable	acceptability
sew	stitcher
central	center
flat	flatterer
exceed	exceedance
prejudice	bias
divide	splitter
lope	canter
coherent	coherence
steer	head
acid	sourness
rig	swindle
plunder	loot
inattentive	negligence
adopt	borrow
conserve	economizer
actual	exist
dwell	lie
alive	animateness
settle	settlement
breed	generation
rate	order
ethical	honorableness
ephemeral	transience
hatch	hatchery
force	ram
gamble	chance
shallow	shoal
swear	deposition
pair	couple
determine	find
solidify	solid
sneaky	furtiveness
idle	stagnation
monopolize	monopolist
assume	insincerity
try	essay
lucrative	moneymaking
enliven	energizer
autonomous	autonomy
seed	seeder
destabilize	destabilization
chatter	jabber
speechless	speechlessness
crab	grouch
caucasian	white
charge	file
limber	pliability
civil	civility
animate	refreshment
pay	wage
stagger	staggerer
fin	flipper
precarious	uncertainty
roast	roaster
remarkable	singularity
press	urgency
speculate	hypothesis
designate	appellation
salvage	salvager
wavy	curliness
sniff	snuffle
wrench	twist
attractive	attraction
clog	backup
sane	sanity
physiologic	physiology
accountant	comptrollership
chronological	chronology
balk	balkiness
quarterly	quarter
impervious	impenetrability
dependent	addiction
studious	studiousness
choir	chorus
tend	lean
moralistic	morality
solicitor	solicitorship
observe	ceremony
momentous	consequence
consummate	consummation
stool	shit
mature	maturation
adjust	adjustment
lunge	hurl
tax	taxer
manageable	oversee
estimate	judgment
wary	wariness
express	expression
smear	smudge
cosmic	universe
smack	relish
possible	possibility
tan	tannery
cancel	cancellation
rush	haste
decoy	bait
incite	instigator
recalcitrant	refractoriness
act	actor
assail	assault
yoke	link
theological	theology
grotesque	freak
varnish	waterproof
brace	aplomb
aimless	vagrancy
rocky	rock
fade	attenuation
slow	deceleration
deep	astuteness
demonic	monster
plow	plowman
serve	servant
shine	radiance
choke	accelerator
dormant	dormancy
cryptic	mystery
transport	carry
childlike	simplicity
shave	shaver
disruptive	disrupt
wholesome	wholesomeness
perishable	perishability
confirm	ratification
break	flop
simmer	boil
limp	hitch
surface	lift
edit	editor
golden	favorableness
arduous	hardness
poisonous	poison
stave	rung
absorb	learner
vary	diversification
