studying	studied
articulating	articulated
drinking	drank
despairing	despaired
brightening	brightened
coding	coded
imitating	imitated
profiling	profiled
siding	sided
targeting	targeted
borrowing	borrowed
obliterating	obliterated
supplanting	supplanted
alienating	alienated
washing	washed
homing	homed
dispatching	dispatched
exiting	exited
resenting	resented
dreaming	dreamed
wheeling	wheeled
repelling	repelled
tutoring	tutored
taming	tamed
overflowing	overflowed
redeeming	redeemed
resurfacing	resurfaced
flooring	floored
reappearing	reappeared
uplifting	uplifted
raising	raised
eating	ate
pushing	pushed
consolidating	consolidated
lodging	lodged
ranking	ranked
administering	administered
concentrating	concentrated
swooping	swooped
biding	bid
regrouping	regrouped
retreating	retreated
coalescing	coalesced
fluttering	fluttered
evading	evaded
hosting	hosted
swearing	swore
discontinuing	discontinued
lurching	lurched
deploring	deplored
downplaying	downplayed
misunderstanding	misunderstood
underestimating	underestimated
buying	bought
contacting	contacted
severing	severed
barking	barked
correlating	correlated
deducting	deducted
training	trained
emitting	emitted
dragging	dragged
overthrowing	overthrew
dictating	dictated
registering	registered
burning	burnt
banding	banded
stunting	stunted
scalping	scalped
mushrooming	mushroomed
frightening	frightened
menacing	menaced
desiring	desired
connecting	connected
infecting	infected
diminishing	diminished
spiraling	spiraled
insinuating	insinuated
indicating	indicated
joining	joined
inflicting	inflicted
infusing	infused
estimating	estimated
troubling	troubled
drugging	drugged
encouraging	encouraged
sketching	sketched
snowing	snowed
bleaching	bleached
buzzing	buzzed
smiling	smiled
formalizing	formalized
cementing	cemented
relishing	relished
ballooning	ballooned
invading	invaded
wavering	wavered
forecasting	forecast
jarring	jarred
ratcheting	ratcheted
perplexing	perplexed
relying	relied
retrofitting	retrofitted
opening	opened
wasting	wasted
expanding	expanded
multiplying	multiplied
hanging	hanged
muttering	muttered
soothing	soothed
slitting	slit
policing	policed
conspiring	conspired
carding	carded
placing	placed
outlining	outlined
burning	burned
bottoming	bottomed
braiding	braided
lurking	lurked
presenting	presented
softening	softened
hammering	hammered
journeying	journeyed
unifying	unified
zooming	zoomed
cloning	cloned
transplanting	transplanted
pinpointing	pinpointed
chronicling	chronicled
imagining	imagined
stamping	stamped
disappearing	disappeared
stonewalling	stonewalled
humiliating	humiliated
undertaking	undertook
framing	framed
spitting	spit
pitting	pitted
ignoring	ignored
swapping	swapped
frying	fried
touching	touched
refurbishing	refurbished
nailing	nailed
gracing	graced
gambling	gambled
balancing	balanced
replenishing	replenished
bidding	bid
depriving	deprived
retracing	retraced
routing	routed
hacking	hacked
bending	bent
showering	showered
tasting	tasted
sparkling	sparkled
answering	answered
obtaining	obtained
feigning	feigned
subjecting	subjected
legitimizing	legitimized
barricading	barricaded
slumping	slumped
juggling	juggled
appointing	appointed
shifting	shifted
housing	housed
uploading	uploaded
cornering	cornered
modifying	modified
wrestling	wrestled
amazing	amazed
fetching	fetched
vomiting	vomited
yearning	yearned
wetting	wetted
preaching	preached
managing	managed
toppling	toppled
knocking	knocked
colluding	colluded
crashing	crashed
tapering	tapered
scuttling	scuttled
booming	boomed
boxing	boxed
petitioning	petitioned
staggering	staggered
tapping	taped
deciding	decided
offsetting	offset
sporting	sported
nesting	nested
bouncing	bounced
rescinding	rescinded
defeating	defeated
fueling	fueled
colonizing	colonized
determining	determined
mouthing	mouthed
gasping	gasped
grinding	ground
billowing	billowed
misrepresenting	misrepresented
surging	surged
bursting	burst
biting	bit
hurtling	hurtled
shrinking	shrunk
attracting	attracted
slamming	slammed
attributing	attributed
reciting	recited
containing	contained
experimenting	experimented
filling	filled
sabotaging	sabotaged
straying	strayed
billing	billed
deliberating	deliberated
subcontracting	subcontracted
ticketing	ticketed
imploring	implored
augmenting	augmented
splashing	splashed
settling	settled
symbolizing	symbolized
interrupting	interrupted
dazzling	dazzled
socializing	socialized
sneaking	sneaked
flocking	flocked
preceding	preceded
worrying	worried
willing	would
awaiting	awaited
loaning	loaned
equaling	equaled
skyrocketing	skyrocketed
dashing	dashed
objecting	objected
distressing	distressed
hunting	hunted
delaying	delayed
implementing	implemented
teaching	taught
concurring	concurred
devouring	devoured
brainwashing	brainwashed
building	built
conveying	conveyed
trekking	trekked
trotting	trotted
hurdling	hurdled
loathing	loathed
shaving	shaved
sticking	stuck
promulgating	promulgated
partitioning	partitioned
stealing	stole
denying	denied
triumphing	triumphed
chalking	chalked
accumulating	accumulated
dropping	dropped
wrangling	wrangled
apprehending	apprehended
chopping	chopped
grieving	grieved
divesting	divested
pledging	pledged
loosening	loosened
invalidating	invalidated
headlining	headlined
shrinking	shrank
competing	competed
slaying	slew
warping	warped
restricting	restricted
inspecting	inspected
committing	commited
ridding	rid
reprising	reprised
thrashing	thrashed
carting	carted
serving	served
adjourning	adjourned
lending	lent
splitting	split
causing	caused
owning	owned
owing	owed
terrifying	terrified
roaring	roared
straining	strained
screening	screened
defying	defied
monitoring	monitored
staking	staked
pressing	pressed
playing	played
christening	christened
inserting	inserted
combing	combed
curving	curved
dissipating	dissipated
astonishing	astonished
toughening	toughened
surpassing	surpassed
maiming	maimed
rescheduling	rescheduled
awakening	awakened
lying	lay
scrolling	scrolled
insuring	insured
glancing	glanced
ceding	ceded
aiding	aided
confusing	confused
discovering	discovered
admiring	admired
tacking	tacked
copying	copied
knitting	knitted
suing	sued
effecting	effected
weathering	weathered
decomposing	decomposed
inciting	incited
appearing	appeared
bleeding	bled
stalling	stalled
grading	graded
manufacturing	manufactured
codifying	codified
spilling	spilled
reusing	reused
retrieving	retrieved
suggesting	suggested
rotating	rotated
scrapping	scrapped
embarrassing	embarrassed
blacking	blacked
devolving	devolved
intensifying	intensified
infiltrating	infiltrated
instructing	instructed
regarding	regarded
hustling	hustled
morphing	morphed
structuring	structured
hugging	hugged
tapping	tapped
considering	considered
extracting	extracted
pouncing	pounced
skating	skated
orchestrating	orchestrated
loving	loved
hijacking	hijacked
abounding	abounded
sprawling	sprawled
reassuring	reassured
initiating	initiated
numbering	numbered
nationalizing	nationalized
flashing	flashed
stationing	stationed
betting	bet
dawning	dawned
traversing	traversed
ejecting	ejected
hauling	hauled
swinging	swung
embellishing	embellished
overturning	overturned
shying	shied
hating	hated
recurring	recurred
focusing	focused
shorting	shorted
restraining	restrained
mediating	mediated
beefing	beefed
willing	willed
reworking	reworked
shredding	shredded
reintroducing	reintroduced
sanctioning	sanctioned
capitalizing	capitalized
blasting	blasted
mistaking	mistook
shaking	shook
overstepping	overstepped
raiding	raided
presiding	presided
rekindling	rekindled
outnumbering	outnumbered
rending	rent
wreaking	wreaked
venturing	ventured
plowing	plowed
molesting	molested
delegating	delegated
potting	potted
eclipsing	eclipsed
rebuilding	rebuilt
basing	based
filtering	filtered
arousing	aroused
crackling	crackled
interlocking	interlocked
complicating	complicated
redoubling	redoubled
encroaching	encroached
condoning	condoned
snatching	snatched
reissuing	reissued
parachuting	parachuted
flagging	flagged
caring	cared
mowing	mowed
pocketing	pocketed
blunting	blunted
risking	risked
crunching	crunched
docking	docked
wearing	wore
hastening	hastened
fooling	fooled
trimming	trimmed
adorning	adorned
convening	convened
licensing	licensed
souring	soured
shoring	shored
staying	stayed
faulting	faulted
discriminating	discriminated
forcing	forced
recommending	recommended
wounding	wounded
spoiling	spoiled
grabbing	grabbed
majoring	majored
rooming	roomed
characterizing	characterized
banning	banned
tanning	tanned
legislating	legislated
rising	rose
shutting	shut
shaping	shaped
extending	extended
belittling	belittled
capping	capped
impacting	impacted
trusting	trusted
masterminding	masterminded
clustering	clustered
barring	bared
strangling	strangled
sheltering	sheltered
forbidding	forbade
transcending	transcended
bettering	bettered
converging	converged
preventing	prevented
reloading	reloaded
liberating	liberated
fingering	fingered
debuting	debuted
balking	balked
disturbing	disturbed
linking	linked
feeling	felt
exempting	exempted
civilizing	civilized
expelling	expelled
reaping	reaped
reiterating	reiterated
forking	forked
negotiating	negotiated
procuring	procured
budgeting	budgeted
regretting	regretted
refilling	refilled
extinguishing	extinguished
constructing	constructed
nurturing	nurtured
struggling	struggled
cautioning	cautioned
proclaiming	proclaimed
gutting	gutted
idling	idled
bridging	bridged
executing	executed
obeying	obeyed
becoming	became
investigating	investigated
posting	posted
reclaiming	reclaimed
enlightening	enlightened
smearing	smeared
dubbing	dubbed
heaping	heaped
levying	levied
saying	sayed
totalling	totaled
batting	batted
tolerating	tolerated
conjuring	conjured
butchering	butchered
reviving	revived
finishing	finished
sparring	sparred
encompassing	encompassed
bearing	bore
accessing	accessed
piecing	pieced
wiring	wired
reserving	reserved
booking	booked
zoning	zoned
disbanding	disbanded
rectifying	rectified
purchasing	purchased
impairing	impaired
grilling	grilled
selecting	selected
hanging	hung
facing	faced
smashing	smashed
goring	gored
reassessing	reassessed
braving	braved
frustrating	frustrated
mixing	mixed
defacing	defaced
biasing	biased
polishing	polished
skipping	skipped
replacing	replaced
surfing	surfed
interacting	interacted
overlapping	overlapped
depicting	depicted
prodding	prodded
complying	complied
flinging	flung
dissolving	dissolved
abating	abated
wiping	wiped
finalizing	finalized
flipping	flipped
revealing	revealed
purifying	purified
fertilizing	fertilized
messing	messed
floating	floated
cramping	cramped
oiling	oiled
emptying	emptied
providing	provided
siting	sited
pervading	pervaded
chasing	chased
collecting	collected
wording	worded
clubbing	clubbed
bothering	bothered
decreasing	decreased
revoking	revoked
brushing	brushed
sapping	sapped
kissing	kissed
emerging	emerged
manning	manned
bunching	bunched
misspelling	misspelled
anticipating	anticipated
footing	footed
fabricating	fabricated
functioning	functioned
involving	involved
assisting	assisted
lapping	lapped
voting	voted
prescribing	prescribed
coaching	coached
discussing	discussed
sprouting	sprouted
officiating	officiated
centering	centered
enhancing	enhanced
naming	named
rallying	rallied
abolishing	abolished
imprisoning	imprisoned
demonstrating	demonstrated
shortening	shortened
clinching	clinched
overstating	overstated
rationing	rationed
needing	needed
requiring	required
astounding	astounded
behaving	behaved
trapping	trapped
roping	roped
measuring	measured
refraining	refrained
acknowledging	acknowledged
resorting	resorted
haggling	haggled
hooking	hooked
choosing	chose
vacationing	vacationed
keeping	kept
depending	depended
huddling	huddled
honing	honed
warranting	warranted
broadcasting	broadcasted
signaling	signaled
spreading	spread
reading	read
thrusting	thrust
mending	mended
persisting	persisted
belting	belted
quashing	quashed
inhaling	inhaled
marrying	married
illuminating	illuminated
tightening	tightened
bonding	bonded
achieving	achieved
introducing	introduced
parading	paraded
violating	violated
whistling	whistled
bing	were
celebrating	celebrated
springing	sprang
praising	praised
teasing	teased
deposing	deposed
pioneering	pioneered
eluding	eluded
swamping	swamped
baring	bared
hiring	hired
casing	cased
corrupting	corrupted
confiding	confided
fashioning	fashioned
resting	rested
imparting	imparted
expediting	expedited
renaming	renamed
learning	learnt
interpreting	interpreted
roasting	roasted
wailing	wailed
summoning	summoned
countering	countered
pleasing	pleased
filing	filed
arising	arose
simulating	simulated
resigning	resigned
weakening	weakened
remembering	remembered
locking	locked
advocating	advocated
provoking	provoked
canceling	canceled
tattooing	tattooed
blossoming	blossomed
deciphering	deciphered
acting	acted
congregating	congregated
offering	offered
punting	punted
pardoning	pardoned
ascribing	ascribed
moving	moved
congratulating	congratulated
losing	lost
flying	flew
rebelling	rebelled
championing	championed
tossing	tossed
piling	piled
converting	converted
claiming	claimed
bottling	bottled
enticing	enticed
leaning	leant
retrenching	retrenched
approving	approved
rooting	rooted
reforming	reformed
swimming	swam
perpetrating	perpetrated
interfering	interfered
scanning	scanned
erecting	erected
surveying	surveyed
delivering	delivered
rippling	rippled
relaying	relayed
affecting	affected
languishing	languished
disabling	disabled
coping	coped
burdening	burdened
broadening	broadened
signalling	signalled
beating	beat
electing	elected
pounding	pounded
checking	checked
appraising	appraised
hovering	hovered
scalding	scalded
stuffing	stuffed
marching	marched
summing	summed
busting	busted
excavating	excavated
sinking	sank
kicking	kicked
riding	rid
developing	developed
ranging	ranged
patching	patched
bundling	bundled
sprinkling	sprinkled
organizing	organized
chaining	chained
conditioning	conditioned
splintering	splintered
penetrating	penetrated
waking	woke
delineating	delineated
proliferating	proliferated
visiting	visited
attesting	attested
vetting	vetted
reining	reined
commending	commended
possessing	possessed
berating	berated
extolling	extolled
relating	related
garnering	garnered
roofing	roofed
wrecking	wrecked
thinking	thought
fining	fined
cursing	cursed
bankrupting	bankrupted
catching	caught
branding	branded
slanting	slanted
deepening	deepened
parking	parked
retaining	retained
ripping	ripped
counselling	counselled
coaxing	coaxed
overruling	overruled
teetering	teetered
stabilizing	stabilized
reimbursing	reimbursed
intimidating	intimidated
funneling	funneled
writing	wrote
waxing	waxed
raking	raked
bribing	bribed
clogging	clogged
plating	plated
flicking	flicked
guiding	guided
contracting	contracted
swaying	swayed
fitting	fitted
suffocating	suffocated
travelling	travelled
interviewing	interviewed
diving	dived
combining	combined
erring	erred
opposing	opposed
repaying	repaid
clarifying	clarified
digitizing	digitized
crawling	crawled
fielding	fielded
accepting	accepted
swelling	swelled
chafing	chafed
clicking	clicked
commanding	commanded
disintegrating	disintegrated
blending	blended
dissecting	dissected
towing	towed
frosting	frosted
daring	dared
sidestepping	sidestepped
scrubbing	scrubbed
rejoicing	rejoiced
pirating	pirated
downing	downed
rubbing	rubbed
riveting	riveted
paraphrasing	paraphrased
rotting	rotted
steering	steered
smoking	smoked
affording	afforded
surrendering	surrendered
communicating	communicated
gliding	glided
sparing	spared
amplifying	amplified
catering	catered
aligning	aligned
launching	launched
stripping	striped
poaching	poached
generalizing	generalized
confronting	confronted
piping	piped
subsiding	subsided
cooperating	cooperated
meaning	meant
probing	probed
progressing	progressed
envisioning	envisioned
reinforcing	reinforced
ingesting	ingested
devastating	devastated
contradicting	contradicted
dancing	danced
peaking	peaked
solving	solved
changing	changed
retracting	retracted
learning	learned
spanking	spanked
welcoming	welcomed
defaming	defamed
eradicating	eradicated
boosting	boosted
landing	landed
repatriating	repatriated
propagating	propagated
pouring	poured
hemming	hemmed
folding	folded
rioting	rioted
promising	promised
clutching	clutched
marshalling	marshalled
certifying	certified
departing	departed
scaring	scared
mutilating	mutilated
swarming	swarmed
restructuring	restructured
railing	railed
indicting	indicted
relapsing	relapsed
decaying	decayed
detailing	detailed
populating	populated
leavening	leavened
anchoring	anchored
molding	molded
ordering	ordered
happening	happened
fending	fended
preferring	preferred
migrating	migrated
excluding	excluded
endangering	endangered
pulling	pulled
coloring	colored
resulting	resulted
seeming	seemed
selling	sold
snowballing	snowballed
commemorating	commemorated
seeding	seeded
resisting	resisted
pleading	pleaded
differentiating	differentiated
landscaping	landscaped
distorting	distorted
renting	rented
publishing	published
nominating	nominated
leaning	leaned
factoring	factored
grazing	grazed
plaguing	plagued
flouting	flouted
inching	inched
topping	topped
powering	powered
enacting	enacted
depleting	depleted
degrading	degraded
working	wrought
terrorizing	terrorized
derailing	derailed
mentioning	mentioned
exhorting	exhorted
fulfilling	fulfilled
orienting	oriented
downsizing	downsized
valuing	valued
inviting	invited
bailing	bailed
deterring	deterred
stringing	strung
inhabiting	inhabited
misleading	misled
vacating	vacated
specifying	specified
differing	differed
throttling	throttled
acceding	acceded
pausing	paused
polling	polled
fasting	fasted
exhibiting	exhibited
mounting	mounted
flourishing	flourished
subscribing	subscribed
witnessing	witnessed
galloping	galloped
reversing	reversed
bounding	bounded
vandalizing	vandalized
travelling	traveled
enchanting	enchanted
piercing	pierced
snarling	snarled
incurring	incurred
rebounding	rebounded
preying	preyed
escorting	escorted
screwing	screwed
inquiring	inquired
conserving	conserved
resonating	resonated
founding	founded
tumbling	tumbled
afflicting	afflicted
shining	shone
returning	returned
frequenting	frequented
treating	treated
refining	refined
harassing	harassed
dressing	dressed
strengthening	strengthened
printing	printed
addressing	addressed
heaving	hove
smuggling	smuggled
embalming	embalmed
being	was
fluctuating	fluctuated
clawing	clawed
understating	understated
forecasting	forecasted
breaching	breached
restarting	restarted
rearming	rearmed
revolutionizing	revolutionized
forfeiting	forfeited
unraveling	unraveled
bullying	bullied
suiting	suited
rehabilitating	rehabilitated
yelling	yelled
shoving	shoved
ramming	rammed
leasing	leased
supervising	supervised
ditching	ditched
skirting	skirted
grooming	groomed
persecuting	persecuted
authoring	authored
shining	shined
occupying	occupied
avenging	avenged
yielding	yielded
briefing	briefed
supplying	supplied
convicting	convicted
infuriating	infuriated
dialing	dialed
thriving	thrived
paving	paved
booting	booted
implanting	implanted
pointing	pointed
depreciating	depreciated
stepping	stepped
specializing	specialized
waiting	waited
mastering	mastered
bungling	bungled
repealing	repealed
undoing	undid
gobbling	gobbled
beckoning	beckoned
arming	armed
gouging	gouged
diffusing	diffused
missing	missed
strolling	strolled
distrusting	distrusted
silencing	silenced
amusing	amused
believing	believed
acquiring	acquired
rusting	rusted
carrying	carried
researching	researched
exterminating	exterminated
leaping	leapt
slandering	slandered
conceiving	conceived
unfolding	unfolded
racking	racked
ruling	ruled
safeguarding	safeguarded
bing	was
banging	banged
maintaining	maintained
servicing	serviced
scoring	scored
negating	negated
intermingling	intermingled
laying	laid
mobbing	mobbed
popularizing	popularized
advancing	advanced
adoring	adored
presuming	presumed
heralding	heralded
overpowering	overpowered
clearing	cleared
exaggerating	exaggerated
mutating	mutated
unwinding	unwound
elaborating	elaborated
burying	buried
constraining	constrained
waning	waned
hinging	hinged
threatening	threatened
impersonating	impersonated
taxing	taxed
hopping	hopped
coupling	coupled
ringing	rang
ordaining	ordained
discerning	discerned
employing	employed
satisfying	satisfied
replaying	replayed
retelling	retold
testifying	testified
narrowing	narrowed
tinkering	tinkered
