bask	basking
repair	repairing
multiply	multiplying
distinguish	distinguishing
bathe	bathing
barter	bartering
flag	flagging
utter	uttering
yell	yelling
populate	populating
straighten	straightening
hound	hounding
scavenge	scavenging
sew	sewing
kneel	kneeling
farm	farming
tease	teasing
sing	singing
estimate	estimating
perform	performing
participate	participating
piece	piecing
travel	traveling
spout	spouting
dumb	dumbing
trespass	trespassing
tag	tagging
jog	jogging
filibuster	filibustering
wink	winking
pare	paring
rescind	rescinding
wish	wishing
boot	booting
build	building
sizzle	sizzling
equalize	equalizing
enslave	enslaving
create	creating
relinquish	relinquishing
purify	purifying
supersede	superseding
zigzag	zigzagging
choose	choosing
bolster	bolstering
deposit	depositing
detect	detecting
ramble	rambling
redirect	redirecting
endorse	endorsing
breed	breeding
witness	witnessing
package	packaging
encode	encoding
visualize	visualizing
march	marching
negotiate	negotiating
impact	impacting
ride	riding
dispose	disposing
task	tasking
dog	dogging
extend	extending
mention	mentioning
counter	countering
mumble	mumbling
howl	howling
maim	maiming
retool	retooling
stage	staging
hack	hacking
torment	tormenting
recede	receding
bend	bending
reside	residing
rethink	rethinking
inaugurate	inaugurating
prune	pruning
queue	queuing
intend	intending
gain	gaining
wither	withering
bill	billing
revitalize	revitalizing
weigh	weighing
degrade	degrading
defeat	defeating
staff	staffing
formulate	formulating
traverse	traversing
peer	peering
cough	coughing
exterminate	exterminating
solve	solving
justify	justifying
dispute	disputing
wipe	wiping
forward	forwarding
press	pressing
procure	procuring
double	doubling
star	starring
halve	halving
plaster	plastering
wilt	wilting
compost	composting
contemplate	contemplating
dash	dashing
gross	grossing
protrude	protruding
buy	buying
feed	feeding
paste	pasting
base	basing
squeeze	squeezing
refrain	refraining
stay	staying
affect	affecting
pace	pacing
come	coming
bottom	bottoming
revert	reverting
stitch	stitching
swamp	swamping
grapple	grappling
overhaul	overhauling
rebel	rebelling
renege	reneging
copy	copying
diminish	diminishing
equal	equalling
reuse	reusing
argue	arguing
link	linking
strain	straining
improvise	improvising
angle	angling
reap	reaping
flood	flooding
refuel	refueling
ignite	igniting
retake	retaking
waste	wasting
vacation	vacationing
enable	enabling
stake	staking
rinse	rinsing
bar	baring
extradite	extraditing
awaken	awakening
compare	comparing
admit	admitting
cloud	clouding
acquire	acquiring
pervade	pervading
groom	grooming
plant	planting
cost	costing
cede	ceding
terminate	terminating
tout	touting
surrender	surrendering
pollute	polluting
deploy	deploying
brainwash	brainwashing
comment	commenting
exploit	exploiting
renounce	renouncing
rib	ribbing
work	working
undo	undoing
foretell	foretelling
minimize	minimizing
dry	drying
orchestrate	orchestrating
pioneer	pioneering
regroup	regrouping
reclaim	reclaiming
clutch	clutching
bolt	bolting
page	paging
dangle	dangling
swell	swelling
scour	scouring
patrol	patrolling
attempt	attempting
manage	managing
burst	bursting
rag	raging
scurry	scurrying
rearm	rearming
scalp	scalping
swap	swapping
doubt	doubting
unlock	unlocking
impersonate	impersonating
enlighten	enlightening
kindle	kindling
burrow	burrowing
interact	interacting
rest	resting
upset	upsetting
theorize	theorizing
riot	rioting
beat	beating
persist	persisting
dine	dining
accept	accepting
grin	grinning
counsel	counselling
deride	deriding
conceal	concealing
bridge	bridging
skirt	skirting
articulate	articulating
row	rowing
blanket	blanketing
salt	salting
stagnate	stagnating
decorate	decorating
gasp	gasping
devalue	devaluing
ordain	ordaining
cap	capping
baffle	baffling
impose	imposing
reprise	reprising
buck	bucking
torture	torturing
review	reviewing
simplify	simplifying
shield	shielding
harness	harnessing
react	reacting
pour	pouring
cleanse	cleansing
conjure	conjuring
picture	picturing
evict	evicting
tend	tending
ponder	pondering
rehabilitate	rehabilitating
cite	citing
bankrupt	bankrupting
stockpile	stockpiling
shadow	shadowing
adjourn	adjourning
smother	smothering
rail	railing
scuttle	scuttling
become	becoming
audit	auditing
bike	biking
bet	betting
reason	reasoning
disturb	disturbing
carry	carrying
rupture	rupturing
bind	binding
bud	budding
hail	hailing
flick	flicking
fare	faring
audition	auditioning
mull	mulling
rot	rotting
hinge	hinging
await	awaiting
suspect	suspecting
clip	clipping
near	nearing
associate	associating
connect	connecting
expire	expiring
stonewall	stonewalling
subcontract	subcontracting
navigate	navigating
freeze	freezing
develop	developing
scramble	scrambling
foster	fostering
uplift	uplifting
prevent	preventing
weed	weeding
recite	reciting
interrogate	interrogating
dunk	dunking
relocate	relocating
schedule	scheduling
ransack	ransacking
christen	christening
tickle	tickling
ice	icing
buffet	buffeting
infiltrate	infiltrating
resort	resorting
single	singling
splinter	splintering
strip	stripping
scar	scaring
emerge	emerging
survey	surveying
vibrate	vibrating
rival	rivaling
involve	involving
approve	approving
function	functioning
distract	distracting
hash	hashing
distress	distressing
remark	remarking
roll	rolling
accompany	accompanying
reassess	reassessing
terrify	terrifying
assimilate	assimilating
organize	organizing
act	acting
move	moving
nod	nodding
teach	teaching
troop	trooping
corrupt	corrupting
poison	poisoning
inflict	inflicting
televise	televising
sample	sampling
banish	banishing
devolve	devolving
welcome	welcoming
bypass	bypassing
mislead	misleading
bump	bumping
strap	strapping
repay	repaying
bubble	bubbling
risk	risking
ease	easing
charm	charming
dispatch	dispatching
flex	flexing
loaf	loafing
export	exporting
sift	sifting
deprive	depriving
hunt	hunting
constrain	constraining
decommission	decommissioning
understate	understating
taxi	taxiing
start	starting
repudiate	repudiating
poke	poking
object	objecting
slit	slitting
browse	browsing
compress	compressing
insert	inserting
operate	operating
deceive	deceiving
interest	interesting
mask	masking
surpass	surpassing
obscure	obscuring
distort	distorting
preside	presiding
milk	milking
seal	sealing
legitimize	legitimizing
film	filming
embellish	embellishing
thread	threading
continue	continuing
predict	predicting
purchase	purchasing
leverage	leveraging
reaffirm	reaffirming
offer	offering
criminalize	criminalizing
escort	escorting
inflame	inflaming
sail	sailing
backtrack	backtracking
splice	splicing
station	stationing
care	caring
reverse	reversing
consolidate	consolidating
herd	herding
power	powering
repatriate	repatriating
join	joining
sacrifice	sacrificing
refine	refining
sob	sobbing
underline	underlining
average	averaging
interview	interviewing
dwarf	dwarfing
drain	draining
ache	aching
forge	forging
convey	conveying
ferry	ferrying
belch	belching
focus	focusing
blind	blinding
resonate	resonating
pledge	pledging
clean	cleaning
crunch	crunching
wager	wagering
arise	arising
oblige	obliging
toss	tossing
download	downloading
defecate	defecating
bleach	bleaching
coat	coating
wail	wailing
ballot	balloting
conflict	conflicting
inform	informing
mean	meaning
veer	veering
morph	morphing
fabricate	fabricating
trail	trailing
secede	seceding
remake	remaking
splash	splashing
understand	understanding
letter	lettering
raid	raiding
flaunt	flaunting
add	adding
grill	grilling
hurdle	hurdling
excel	excelling
endure	enduring
blister	blistering
err	erring
hear	hearing
weight	weighting
maintain	maintaining
disguise	disguising
refurbish	refurbishing
hate	hating
invigorate	invigorating
propel	propelling
support	supporting
delve	delving
pronounce	pronouncing
slaughter	slaughtering
lose	losing
concern	concerning
blot	blotting
hint	hinting
disgust	disgusting
damp	damping
paddle	paddling
flourish	flourishing
plow	plowing
rape	raping
forfeit	forfeiting
experiment	experimenting
expel	expelling
spare	sparing
dope	doping
con	conning
merchandise	merchandising
foam	foaming
orient	orienting
renew	renewing
elect	electing
colonize	colonizing
opt	opting
hedge	hedging
question	questioning
wonder	wondering
overestimate	overestimating
resist	resisting
ski	skiing
extract	extracting
fix	fixing
rebuild	rebuilding
aggravate	aggravating
dodge	dodging
screw	screwing
attest	attesting
intensify	intensifying
hamper	hampering
behave	behaving
field	fielding
besiege	besieging
huddle	huddling
transfer	transferring
galvanize	galvanizing
arrive	arriving
spew	spewing
evaluate	evaluating
rat	rating
believe	believing
teleconference	teleconferencing
expose	exposing
glare	glaring
embed	embedding
publish	publishing
butcher	butchering
shop	shopping
layer	layering
rack	racking
eject	ejecting
flatter	flattering
promote	promoting
inquire	inquiring
wean	weaning
divide	dividing
display	displaying
conduct	conducting
sneak	sneaking
chatter	chattering
skip	skipping
tailgate	tailgating
shepherd	shepherding
narrate	narrating
triumph	triumphing
overhang	overhanging
allege	alleging
learn	learning
bundle	bundling
repeal	repealing
scope	scoping
whine	whining
restrict	restricting
sow	sowing
reorganize	reorganizing
cope	coping
match	matching
drape	draping
topple	toppling
commemorate	commemorating
bond	bonding
patronize	patronizing
season	seasoning
spiral	spiraling
apply	applying
sentence	sentencing
age	aging
giggle	giggling
incite	inciting
coach	coaching
top	topping
quantify	quantifying
honk	honking
transport	transporting
reassert	reasserting
satisfy	satisfying
adopt	adopting
wring	wringing
funnel	funneling
apprehend	apprehending
empower	empowering
bath	bathing
ascribe	ascribing
answer	answering
lock	locking
bag	bagging
grind	grinding
rip	ripping
investigate	investigating
fund	funding
plate	plating
commend	commending
bid	biding
range	ranging
hop	hopping
phone	phoning
panic	panicking
compete	competing
haul	hauling
inch	inching
immigrate	immigrating
shine	shining
clog	clogging
roost	roosting
loosen	loosening
seduce	seducing
belt	belting
trade	trading
regulate	regulating
blunt	blunting
feather	feathering
alter	altering
fashion	fashioning
disregard	disregarding
thrill	thrilling
thicken	thickening
tan	tanning
accord	according
negate	negating
pound	pounding
rejuvenate	rejuvenating
arrange	arranging
write	writing
sanction	sanctioning
afford	affording
abuse	abusing
crash	crashing
pursue	pursuing
trickle	trickling
bang	banging
plan	planing
sway	swaying
espouse	espousing
slug	slugging
pipe	piping
cement	cementing
recover	recovering
extol	extolling
pinch	pinching
refill	refilling
blank	blanking
urge	urging
refer	referring
bribe	bribing
formalize	formalizing
verge	verging
snarl	snarling
disperse	dispersing
amplify	amplifying
firebomb	firebombing
take	taking
sweat	sweating
prompt	prompting
warp	warping
mesh	meshing
twitch	twitching
survive	surviving
squander	squandering
govern	governing
spar	sparring
fork	forking
yodel	yodeling
hire	hiring
reintroduce	reintroducing
hit	hitting
alleviate	alleviating
author	authoring
invest	investing
precede	preceding
jack	jacking
scar	scarring
stun	stunning
scheme	scheming
gut	gutting
confront	confronting
cling	clinging
ham	hamming
span	spanning
conserve	conserving
throw	throwing
downsize	downsizing
deflect	deflecting
ensue	ensuing
stink	stinking
pray	praying
study	studying
disarm	disarming
brood	brooding
major	majoring
rock	rocking
disseminate	disseminating
rid	ridding
peck	pecking
perpetuate	perpetuating
quadruple	quadrupling
result	resulting
fester	festering
plane	planing
bug	bugging
lend	lending
deplete	depleting
certify	certifying
switch	switching
teeter	teetering
categorize	categorizing
catch	catching
gape	gaping
discredit	discrediting
weather	weathering
delight	delighting
scrub	scrubbing
rake	raking
disparage	disparaging
anticipate	anticipating
slay	slaying
inhale	inhaling
empty	emptying
excite	exciting
select	selecting
prolong	prolonging
glow	glowing
anchor	anchoring
clash	clashing
bat	batting
confuse	confusing
marry	marrying
collaborate	collaborating
occur	occurring
portray	portraying
donate	donating
cover	covering
radiate	radiating
score	scoring
collapse	collapsing
wrestle	wrestling
linger	lingering
reimburse	reimbursing
blaze	blazing
credit	crediting
enhance	enhancing
ready	readying
bruise	bruising
upgrade	upgrading
belittle	belittling
remove	removing
plague	plaguing
outpace	outpacing
undertake	undertaking
white	whiting
pay	paying
liken	likening
partner	partnering
rotate	rotating
fasten	fastening
stabilize	stabilizing
overlook	overlooking
key	keying
thaw	thawing
nationalize	nationalizing
shuttle	shuttling
flutter	fluttering
enter	entering
claim	claiming
fret	fretting
deliberate	deliberating
intrigue	intriguing
dampen	dampening
drip	dripping
loom	looming
urinate	urinating
finalize	finalizing
sidestep	sidestepping
delay	delaying
employ	employing
coincide	coinciding
outline	outlining
reiterate	reiterating
collect	collecting
send	sending
include	including
decry	decrying
drill	drilling
surge	surging
sculpt	sculpting
modify	modifying
subject	subjecting
paint	painting
dictate	dictating
spoil	spoiling
interface	interfacing
uncover	uncovering
hog	hogging
grieve	grieving
enlist	enlisting
comprehend	comprehending
think	thinking
emit	emitting
revolt	revolting
equip	equipping
overcome	overcoming
oil	oiling
surf	surfing
batter	battering
vault	vaulting
wander	wandering
cave	caving
stare	staring
discriminate	discriminating
vet	vetting
reinvest	reinvesting
clarify	clarifying
calculate	calculating
stroke	stroking
check	checking
patent	patenting
preserve	preserving
source	sourcing
feud	feuding
ditch	ditching
prevail	prevailing
up	upping
quit	quitting
implement	implementing
tear	tearing
snoop	snooping
highlight	highlighting
insure	insuring
pillage	pillaging
subside	subsiding
crest	cresting
plunder	plundering
absorb	absorbing
ply	plying
tube	tubing
soldier	soldiering
rob	robbing
permit	permitting
barricade	barricading
weep	weeping
toil	toiling
haunt	haunting
slumber	slumbering
pulse	pulsing
disqualify	disqualifying
spank	spanking
laugh	laughing
implore	imploring
time	timing
applaud	applauding
judge	judging
exacerbate	exacerbating
incur	incurring
roof	roofing
pack	packing
accumulate	accumulating
shake	shaking
generalize	generalizing
distance	distancing
massacre	massacring
embody	embodying
bluff	bluffing
mete	meting
pole	poling
record	recording
sign	signing
depress	depressing
sober	sobering
haze	hazing
unfold	unfolding
rearrange	rearranging
tone	toning
jettison	jettisoning
sort	sorting
guide	guiding
be	bing
pull	pulling
decline	declining
flank	flanking
waive	waiving
speed	speeding
barge	barging
foul	fouling
scent	scenting
bid	bidding
quote	quoting
outfit	outfitting
whiten	whitening
refute	refuting
stab	stabbing
edge	edging
boast	boasting
twin	twining
fill	filling
anger	angering
eavesdrop	eavesdropping
reinstate	reinstating
tally	tallying
iron	ironing
streak	streaking
scold	scolding
wrangle	wrangling
lecture	lecturing
fight	fighting
snowball	snowballing
discuss	discussing
till	tilling
bleed	bleeding
moan	moaning
thank	thanking
levy	levying
proceed	proceeding
withdraw	withdrawing
sense	sensing
perceive	perceiving
oppress	oppressing
classify	classifying
patch	patching
group	grouping
introduce	introducing
abate	abating
free	freeing
fetch	fetching
stoke	stoking
fend	fending
streamline	streamlining
bus	busing
overhear	overhearing
outnumber	outnumbering
encounter	encountering
weave	weaving
execute	executing
budge	budging
house	housing
recapture	recapturing
illuminate	illuminating
debunk	debunking
mind	minding
sprint	sprinting
hitch	hitching
root	rooting
inspect	inspecting
require	requiring
pierce	piercing
annex	annexing
rout	routing
slide	sliding
adjust	adjusting
respond	responding
graze	grazing
joust	jousting
reject	rejecting
adorn	adorning
simulate	simulating
sympathize	sympathizing
void	voiding
darken	darkening
glean	gleaning
entrust	entrusting
insult	insulting
reunite	reuniting
evacuate	evacuating
boom	booming
anoint	anointing
blossom	blossoming
elicit	eliciting
scroll	scrolling
vomit	vomiting
curl	curling
thrust	thrusting
bowl	bowling
hand	handing
volunteer	volunteering
word	wording
crack	cracking
challenge	challenging
legalize	legalizing
name	naming
dissect	dissecting
muscle	muscling
discard	discarding
redistribute	redistributing
overtake	overtaking
bob	bobbing
siphon	siphoning
devote	devoting
glorify	glorifying
eclipse	eclipsing
vary	varying
skyrocket	skyrocketing
blur	blurring
heckle	heckling
publicize	publicizing
depend	depending
intercept	intercepting
burden	burdening
sack	sacking
abandon	abandoning
loose	loosing
peter	petering
journey	journeying
flow	flowing
evaporate	evaporating
bury	burying
dismantle	dismantling
reload	reloading
wet	wetting
lean	leaning
fling	flinging
assess	assessing
fail	failing
sand	sanding
green	greening
decay	decaying
shelve	shelving
squabble	squabbling
oust	ousting
legislate	legislating
even	evening
trot	trotting
sting	stinging
stroll	strolling
tramp	tramping
exchange	exchanging
tote	toting
alert	alerting
assist	assisting
exhaust	exhausting
moor	mooring
rank	ranking
find	finding
see	seeing
flush	flushing
inject	injecting
ban	banning
hoard	hoarding
wane	waning
cluster	clustering
shriek	shrieking
invoke	invoking
customize	customizing
rationalize	rationalizing
correspond	corresponding
blush	blushing
clear	clearing
appoint	appointing
bunt	bunting
plead	pleading
bring	bringing
pore	poring
make	making
cater	catering
flap	flapping
regenerate	regenerating
laud	lauding
defend	defending
confess	confessing
spread	spreading
cycle	cycling
recuperate	recuperating
type	typing
except	excepting
man	manning
swoop	swooping
garner	garnering
duck	ducking
sever	severing
spend	spending
toughen	toughening
proclaim	proclaiming
infect	infecting
slice	slicing
latch	latching
wallow	wallowing
fiddle	fiddling
ring	ringing
revive	reviving
quarrel	quarreling
clown	clowning
bias	biasing
grace	gracing
reform	reforming
rust	rusting
style	styling
progress	progressing
wrench	wrenching
band	banding
confer	conferring
prosecute	prosecuting
tabulate	tabulating
advance	advancing
cancel	canceling
underscore	underscoring
rend	rending
rivet	riveting
stream	streaming
peel	peeling
say	saying
dim	dimming
gather	gathering
remind	reminding
wine	wining
notify	notifying
devise	devising
creep	creeping
protect	protecting
look	looking
twist	twisting
shrug	shrugging
verify	verifying
deregulate	deregulating
moderate	moderating
envelop	enveloping
ticket	ticketing
space	spacing
flicker	flickering
