patent	patents
gutter	gutters
refund	refunds
statement	statements
tack	tacks
barricade	barricades
license	licenses
attest	attests
compact	compacts
live	lives
access	accesses
slot	slots
manufacture	manufactures
ship	ships
restructure	restructures
moderate	moderates
rattle	rattles
budget	budgets
score	scores
cannon	cannons
pursue	pursues
hassle	hassles
collar	collars
give	gives
disclose	discloses
puncture	punctures
nerve	nerves
know	knows
sacrifice	sacrifices
restrain	restrains
drain	drains
stretcher	stretchers
overpower	overpowers
say	says
arrive	arrives
clump	clumps
gee	gees
fear	fears
dwarf	dwarfs
long	longs
subpoena	subpoenas
spoon	spoons
phrase	phrases
police	polices
bracket	brackets
sound	sounds
cuff	cuffs
insult	insults
matter	matters
queen	queens
knee	knees
end	ends
refill	refills
orbit	orbits
unload	unloads
hire	hires
reproduce	reproduces
abide	abides
examine	examines
beetle	beetles
stockpile	stockpiles
video	videos
twin	twins
quarter	quarters
staple	staples
land	lands
boycott	boycotts
conquer	conquers
pocket	pockets
regard	regards
class	classes
gear	gears
plan	plans
reconcile	reconciles
prostitute	prostitutes
further	furthers
polish	polishes
replicate	replicates
calculate	calculates
preview	previews
learn	learns
pull	pulls
perceive	perceives
mushroom	mushrooms
prohibit	prohibits
scroll	scrolls
spawn	spawns
nurture	nurtures
settle	settles
crave	craves
remain	remains
quarry	quarries
renew	renews
weasel	weasels
syringe	syringes
deserve	deserves
acquire	acquires
towel	towels
dance	dances
necessitate	necessitates
quake	quakes
horse	horses
depend	depends
thank	thanks
chain	chains
plummet	plummets
advise	advises
suppress	suppresses
debate	debates
birdie	birdies
space	spaces
concede	concedes
execute	executes
bowl	bowls
soil	soils
pack	packs
complement	complements
index	indexes
ally	allies
clue	clues
acknowledge	acknowledges
radio	radios
throw	throws
recreate	recreates
desire	desires
investigate	investigates
store	stores
experiment	experiments
peter	peters
prime	primes
distribute	distributes
reopen	reopens
stunt	stunts
fade	fades
fence	fences
stitch	stitches
install	installs
lodge	lodges
label	labels
signpost	signposts
mandate	mandates
ready	readies
condemn	condemns
alternate	alternates
storm	storms
consolidate	consolidates
white	whites
adorn	adorns
bill	bills
sample	samples
offer	offers
recess	recesses
envisage	envisages
groan	groans
segment	segments
handicap	handicaps
choose	chooses
exercise	exercises
cradle	cradles
sweep	sweeps
green	greens
succumb	succumbs
jab	jabs
pepper	peppers
flare	flares
slam	slams
object	objects
subordinate	subordinates
rhyme	rhymes
thread	threads
tube	tubes
wedge	wedges
vacation	vacations
recall	recalls
sweat	sweats
upset	upsets
sport	sports
pluck	plucks
lease	leases
rub	rubs
drill	drills
nap	naps
quarterback	quarterbacks
waive	waives
host	hosts
reaffirm	reaffirms
obscure	obscures
prescribe	prescribes
seem	seems
forward	forwards
guarantee	guarantees
fit	fits
audit	audits
pan	panes
effect	effects
skewer	skewers
jibe	jibes
ravage	ravages
smack	smacks
spell	spells
draw	draws
spill	spills
broadcast	broadcasts
shade	shades
do	does
rupture	ruptures
hammer	hammers
refrain	refrains
abuse	abuses
quit	quits
explain	explains
disregard	disregards
shred	shreds
doctor	doctors
mature	matures
crush	crushes
accomplish	accomplishes
overthrow	overthrows
edit	edits
supersede	supersedes
low	lows
bully	bullies
dip	dips
underscore	underscores
field	fields
garden	gardens
program	programs
regulate	regulates
paddle	paddles
sandwich	sandwiches
gorge	gorges
reserve	reserves
slave	slaves
tire	tires
fill	fills
belly	bellies
outfit	outfits
mold	molds
crap	craps
axe	axes
prospect	prospects
salute	salutes
grate	grates
accumulate	accumulates
drift	drifts
room	rooms
bunk	bunks
divorce	divorces
kiss	kisses
stroke	strokes
venture	ventures
arouse	arouses
swap	swaps
sprout	sprouts
revolt	revolts
station	stations
counter	counters
shore	shores
tile	tiles
outrage	outrages
band	bands
stipulate	stipulates
corroborate	corroborates
climax	climaxes
regain	regains
vent	vents
notch	notches
dilute	dilutes
fringe	fringes
aspire	aspires
channel	channels
transpire	transpires
tool	tools
belong	belongs
savage	savages
star	stars
trumpet	trumpets
glorify	glorifies
double	doubles
admonish	admonishes
mastermind	masterminds
wane	wanes
raffle	raffles
study	studies
swing	swings
privilege	privileges
rule	rules
twitch	twitches
communicate	communicates
escalate	escalates
counteract	counteracts
scoop	scoops
duplicate	duplicates
tower	towers
coil	coils
clap	claps
shroud	shrouds
filibuster	filibusters
exit	exits
grill	grills
dampen	dampens
brag	brags
explore	explores
stub	stubs
price	prices
vary	varies
cater	caters
vindicate	vindicates
distract	distracts
torment	torments
penetrate	penetrates
worm	worms
implement	implements
read	reads
confess	confesses
groom	grooms
accelerate	accelerates
chant	chants
are	ares
smear	smears
spread	spreads
brake	brakes
concentrate	concentrates
finance	finances
total	totals
butcher	butchers
calm	calms
shuttle	shuttles
wrong	wrongs
edge	edges
stare	stares
slide	slides
spur	spurs
bank	banks
sign	signs
rebuild	rebuilds
empty	empties
interchange	interchanges
broaden	broadens
well	wells
straddle	straddles
seek	seeks
bat	bats
head	heads
roger	rogers
umpire	umpires
foster	fosters
research	researches
waffle	waffles
welcome	welcomes
muse	muses
usher	ushers
bristle	bristles
throttle	throttles
plead	pleads
bang	bangs
oppose	opposes
exhibit	exhibits
seize	seizes
protect	protects
text	texts
sprinkle	sprinkles
mumble	mumbles
prompt	prompts
enable	enables
cultivate	cultivates
schedule	schedules
hump	humps
gut	guts
plane	planes
zoom	zooms
sharpen	sharpens
stumble	stumbles
commence	commences
parachute	parachutes
vaporize	vaporizes
gamble	gambles
dwindle	dwindles
wag	wages
shift	shifts
realize	realizes
attract	attracts
open	opens
combine	combines
toast	toasts
clinch	clinches
overrun	overruns
structure	structures
endure	endures
resent	resents
amount	amounts
accrue	accrues
pine	pines
invade	invades
cancel	cancels
peer	peers
arch	arches
wiggle	wiggles
pattern	patterns
hot	hots
excel	excels
discard	discards
encode	encodes
switch	switches
rig	rigs
receive	receives
discover	discovers
overturn	overturns
detect	detects
proof	proofs
dry	dries
implicate	implicates
enlarge	enlarges
exert	exerts
blend	blends
flash	flashes
scoff	scoffs
shudder	shudders
cover	covers
vacuum	vacuums
bury	buries
overhear	overhears
burst	bursts
clam	clams
pickle	pickles
update	updates
craft	crafts
size	sizes
creep	creeps
overflow	overflows
ape	apes
climb	climbs
revisit	revisits
tear	tears
ensue	ensues
clear	clears
crest	crests
pivot	pivots
correspond	corresponds
knit	knits
elevate	elevates
manipulate	manipulates
front	fronts
minister	ministers
grieve	grieves
weather	weathers
caddy	caddies
position	positions
squirrel	squirrels
balloon	balloons
replace	replaces
graduate	graduates
measure	measures
misunderstand	misunderstands
utter	utters
heighten	heightens
advocate	advocates
alert	alerts
resonate	resonates
violate	violates
gaze	gazes
fail	fails
impede	impedes
worsen	worsens
wink	winks
demo	demos
daydream	daydreams
weaken	weakens
angle	angles
circulate	circulates
defy	defies
lock	locks
cloud	clouds
see	sees
recur	recurs
minute	minutes
digest	digests
upgrade	upgrades
deliver	delivers
pole	poles
drown	drowns
swamp	swamps
contemplate	contemplates
beg	begs
slow	slows
radiate	radiates
rampage	rampages
sap	saps
tug	tugs
cable	cables
grapple	grapples
blossom	blossoms
can	cans
point	points
lean	leans
bias	biases
recruit	recruits
blur	blurs
debut	debuts
fell	fells
hoard	hoards
void	voids
flake	flakes
sole	soles
instance	instances
style	styles
barbecue	barbecues
act	acts
disperse	disperses
sideline	sidelines
outpace	outpaces
baffle	baffles
impress	impresses
query	queries
fax	faxes
stream	streams
interrupt	interrupts
eyeball	eyeballs
exemplify	exemplifies
prize	prizes
proceed	proceeds
divert	diverts
count	counts
curl	curls
languish	languishes
blockade	blockades
clash	clashes
sing	sings
bayonet	bayonets
need	needs
critique	critiques
win	wins
include	includes
paper	papers
slug	slugs
gain	gains
closet	closets
distort	distorts
trip	trips
model	models
place	places
rain	rains
landscape	landscapes
counsel	counsels
rebel	rebels
integrate	integrates
light	lights
evoke	evokes
martyr	martyrs
slaughter	slaughters
retail	retails
resolve	resolves
set	sets
award	awards
pace	paces
perk	perks
feather	feathers
dial	dials
incorporate	incorporates
surrender	surrenders
pig	pigs
hunt	hunts
dunk	dunks
sting	stings
retaliate	retaliates
coin	coins
duel	duels
trick	tricks
garrison	garrisons
appoint	appoints
decree	decrees
coat	coats
intrigue	intrigues
aid	aids
jail	jails
spurt	spurts
mirror	mirrors
shape	shapes
dramatize	dramatizes
wreck	wrecks
warp	warps
prod	prods
consent	consents
cruise	cruises
eat	eats
retreat	retreats
veil	veils
refute	refutes
survive	survives
loop	loops
square	squares
skin	skins
loose	looses
deposit	deposits
nail	nails
rabbit	rabbits
stop	stops
disrupt	disrupts
chop	chops
elude	eludes
sketch	sketches
stake	stakes
preside	presides
water	waters
negate	negates
butt	butts
reject	rejects
drag	drags
close	closes
beam	beams
film	films
bob	bobs
loosen	loosens
snag	snags
speculate	speculates
serve	serves
burrow	burrows
adhere	adheres
wail	wails
swell	swells
peak	peaks
commit	commits
rout	routes
seat	seats
freeze	freezes
forbid	forbids
bridge	bridges
motor	motors
reckon	reckons
cascade	cascades
accord	accords
hop	hops
reimburse	reimburses
pick	picks
adopt	adopts
envision	envisions
weight	weights
snare	snares
control	controls
target	targets
mop	mops
require	requires
service	services
compose	composes
ram	rams
gen	genes
question	questions
pitch	pitches
cast	casts
harvest	harvests
command	commands
knot	knots
arise	arises
admit	admits
deepen	deepens
console	consoles
rebound	rebounds
assure	assures
moo	moos
feast	feasts
referee	referees
transcend	transcends
squat	squats
hatch	hatches
swan	swans
initial	initials
dub	dubs
author	authors
bike	bikes
expect	expects
wear	wears
follow	follows
confine	confines
humiliate	humiliates
capture	captures
flatten	flattens
consume	consumes
photograph	photographs
vanish	vanishes
interfere	interferes
flame	flames
shell	shells
gig	gigs
despise	despises
hesitate	hesitates
fare	fares
core	cores
wither	withers
lead	leads
cake	cakes
alarm	alarms
puzzle	puzzles
pair	pairs
arrest	arrests
buff	buffs
muscle	muscles
couch	couches
comply	complies
pop	pops
print	prints
reverse	reverses
delegate	delegates
volunteer	volunteers
forecast	forecasts
accent	accents
drone	drones
locate	locates
impact	impacts
slope	slopes
vault	vaults
enforce	enforces
unveil	unveils
moon	moons
become	becomes
shampoo	shampoos
bother	bothers
perpetuate	perpetuates
discriminate	discriminates
sell	sells
hinge	hinges
wall	walls
surround	surrounds
prove	proves
scramble	scrambles
cave	caves
undergo	undergoes
