essay	essays
prophet	prophets
goblet	goblets
harvester	harvesters
channel	channels
superlative	superlatives
caricature	caricatures
chimney	chimneys
committee	committees
stink	stinks
leper	lepers
cutout	cutouts
boarder	boarders
dungeon	dungeons
afternoon	afternoons
extremity	extremities
handshake	handshakes
being	beings
bounce	bounces
flap	flaps
drove	droves
twitch	twitches
gazelle	gazelles
obscenity	obscenities
step	steps
linebacker	linebackers
maker	makers
agreement	agreements
sac	sacs
powder	powders
organism	organisms
rise	rises
surgery	surgeries
stairwell	stairwells
gadget	gadgets
escape	escapes
revolver	revolvers
attraction	attractions
implement	implements
pedestal	pedestals
inning	innings
jersey	jerseys
prion	prions
disease	diseases
corps	corpses
portable	portables
caper	capers
nest	nests
headhunter	headhunters
tenor	tenors
pearl	pearls
suture	sutures
streak	streaks
jungle	jungles
orgasm	orgasms
incinerator	incinerators
express	expresses
screenplay	screenplays
speed	speeds
torpedo	torpedoes
phenomenon	phenomena
resident	residents
buggy	buggies
constituency	constituencies
house	houses
canon	canons
disparity	disparities
autograph	autographs
shawl	shawls
contractor	contractors
throttle	throttles
lion	lions
portrayal	portrayals
quest	quests
fingernail	fingernails
fire	fires
guinea	guineas
thunderstorm	thunderstorms
biopsy	biopsies
detour	detours
form	forms
leaflet	leaflets
index	indexes
nudist	nudists
hurt	hurts
armament	armaments
aggregate	aggregates
twister	twisters
contract	contracts
melody	melodies
mountainside	mountainsides
barrel	barrels
watershed	watersheds
old	olds
rank	ranks
star	stars
scandal	scandals
requirement	requirements
ambiguity	ambiguities
struggle	struggles
gravestone	gravestones
franc	frances
sympathizer	sympathizers
ecologist	ecologists
yard	yards
undertone	undertones
holster	holsters
dome	domes
intellectual	intellectuals
campaign	campaigns
oath	oaths
crust	crusts
schedule	schedules
dialect	dialects
rhino	rhinos
fall	falls
pill	pills
horn	horns
portion	portions
choir	choirs
mudslide	mudslides
modem	modems
hamburger	hamburgers
detainee	detainees
prince	princes
lien	liens
marsh	marshes
deed	deeds
nightmare	nightmares
sculpture	sculptures
talent	talents
certificate	certificates
gun	guns
watchdog	watchdogs
noble	nobles
rancher	ranchers
device	devices
wasteland	wastelands
watcher	watchers
photographer	photographers
rapper	rappers
overlay	overlays
jock	jocks
zone	zones
dweller	dwellers
mustang	mustangs
merit	merits
absolute	absolutes
slit	slits
invoice	invoices
mascot	mascots
drought	droughts
verdict	verdicts
medic	medics
court	courts
jam	james
bystander	bystanders
mammoth	mammoths
quiver	quivers
prayer	prayers
bureaucracy	bureaucracies
fluid	fluids
skylight	skylights
hero	heroes
investment	investments
artist	artists
guard	guards
reed	reeds
basis	bases
poem	poems
cabinet	cabinets
impersonator	impersonators
oilfield	oilfields
polemic	polemics
rectangle	rectangles
attempt	attempts
dagger	daggers
basin	basins
lap	laps
percentage	percentages
soloist	soloists
mooring	moorings
parcel	parcels
abortion	abortions
itinerary	itineraries
father	fathers
affiliation	affiliations
western	westerns
bachelor	bachelors
dishwasher	dishwashers
upload	uploads
adult	adults
streetcar	streetcars
oasis	oases
microbe	microbes
pro	pros
rhyme	rhymes
lash	lashes
wind	winds
newscast	newscasts
crook	crooks
camera	cameras
black	blacks
cornerstone	cornerstones
veto	vetoes
lead	leads
spacewalk	spacewalks
drawing	drawings
fowl	fowls
outcome	outcomes
rendering	renderings
intricacy	intricacies
keep	keeps
illegal	illegals
bead	beads
contraption	contraptions
back	backs
drag	drags
bob	bobs
apologist	apologists
feline	felines
mole	moles
admirer	admirers
story	stories
duct	ducts
bandage	bandages
lie	lies
hero	heros
entrepreneur	entrepreneurs
ruby	rubies
embryo	embryos
tramp	tramps
remark	remarks
thief	thieves
psalm	psalms
topic	topics
baptism	baptisms
facet	facets
galley	galleys
corpse	corpses
tavern	taverns
enclave	enclaves
jet	jets
nose	noses
groupie	groupies
takeover	takeovers
taxiway	taxiways
antecedent	antecedents
aficionado	aficionados
counterpart	counterparts
nook	nooks
indiscretion	indiscretions
tuft	tufts
loyalty	loyalties
beacon	beacons
shin	shines
wipe	wipes
boutique	boutiques
planeload	planeloads
prism	prisms
garrison	garrisons
slice	slices
upper	uppers
polyp	polyps
eater	eaters
pond	ponds
hound	hounds
child	childs
canyon	canyons
quill	quills
jibe	jibes
adversary	adversaries
gunman	gunmen
rally	rallies
brothel	brothels
improvement	improvements
clash	clashes
nation	nations
deficit	deficits
department	departments
cult	cults
stir	stirs
penetration	penetrations
chain	chains
bazaar	bazaars
cradle	cradles
pathway	pathways
crisis	crises
euphemism	euphemisms
representative	representatives
quilt	quilts
cage	cages
hook	hooks
separatist	separatists
organ	organs
card	cards
sensation	sensations
teenager	teenagers
airliner	airliners
college	colleges
hack	hacks
tear	tears
ambition	ambitions
walkway	walkways
turnip	turnips
republic	republics
dentist	dentists
calorie	calories
ovation	ovations
picture	pictures
predecessor	predecessors
wicket	wickets
transfer	transfers
perfume	perfumes
monitor	monitors
hour	hours
bush	bushes
antibody	antibodies
shoot	shoots
breeder	breeders
tooth	teeth
tantrum	tantrums
catcher	catchers
magazine	magazines
bridesmaid	bridesmaids
article	articles
resort	resorts
backdrop	backdrops
red	reds
headline	headlines
shepherd	shepherds
brick	bricks
obituary	obituaries
puritan	puritans
contrast	contrasts
lunch	lunches
fisherman	fishermen
excursion	excursions
tick	ticks
boulevard	boulevards
root	roots
fable	fables
carousel	carousels
tribute	tributes
biker	bikers
purge	purges
demonstration	demonstrations
contest	contests
mummy	mummies
willow	willows
chart	charts
bombardment	bombardments
canister	canisters
roof	roofs
computer	computers
whip	whips
surround	surrounds
respondent	respondents
diary	diaries
fishery	fisheries
bog	bogs
sonnet	sonnets
hopeful	hopefuls
clergyman	clergymen
moth	moths
suit	suits
personage	personages
motorist	motorists
congress	congresses
fireplace	fireplaces
abstention	abstentions
vowel	vowels
anarchist	anarchists
sack	sacks
lady	ladies
approximation	approximations
cavity	cavities
atom	atoms
composer	composers
electrode	electrodes
woman	women
pebble	pebbles
reagent	reagents
kettle	kettles
concession	concessions
levee	levees
ideologue	ideologues
locus	loci
weld	welds
dossier	dossiers
antioxidant	antioxidants
ranch	ranches
nigger	niggers
disability	disabilities
chemist	chemists
gaffe	gaffes
lesson	lessons
veteran	veterans
undergraduate	undergraduates
nut	nuts
person	persons
premonition	premonitions
shaker	shakers
heart	hearts
collector	collectors
campsite	campsites
whore	whores
spectator	spectators
net	nets
foul	fouls
crate	crates
painting	paintings
nationalist	nationalists
performer	performers
audience	audiences
boxcar	boxcars
exhaust	exhausts
grand	grands
wallet	wallets
moderator	moderators
treatise	treatises
refugee	refugees
settler	settlers
dealership	dealerships
vaccine	vaccines
colonial	colonials
win	wins
cock	cocks
pauper	paupers
peripheral	peripherals
tribesman	tribesmen
distraction	distractions
tent	tents
trait	traits
latch	latches
monologue	monologues
tenant	tenants
alumnus	alumni
spat	spats
extraterrestrial	extraterrestrials
typewriter	typewriters
op	ops
mobster	mobsters
truckload	truckloads
bouncer	bouncers
curiosity	curiosities
pony	ponies
overlord	overlords
monarchist	monarchists
redneck	rednecks
wildcat	wildcats
rainbow	rainbows
semiconductor	semiconductors
waitress	waitresses
feed	feeds
clamp	clamps
serial	serials
logo	logos
rental	rentals
can	cans
road	roads
diet	diets
dictionary	dictionaries
pandemic	pandemics
diehard	diehards
tie	ties
peer	peers
toy	toys
ringleader	ringleaders
remove	removes
shovel	shovels
advertiser	advertisers
bale	bales
informant	informants
gent	gents
outpost	outposts
five	fives
regret	regrets
convertible	convertibles
affliction	afflictions
amnesty	amnesties
finalist	finalists
imprint	imprints
fine	fines
fin	fins
burial	burials
forehead	foreheads
isotope	isotopes
crocodile	crocodiles
greenhouse	greenhouses
pavement	pavements
photon	photons
honoree	honorees
jaguar	jaguars
chemical	chemicals
designer	designers
crop	crops
subcontractor	subcontractors
casket	caskets
marathon	marathons
garden	gardens
rejection	rejections
ditch	ditches
sitter	sitters
clump	clumps
heifer	heifers
incident	incidents
rocket	rockets
warhead	warheads
landscape	landscapes
orchestra	orchestras
blazer	blazers
tulip	tulips
lover	lovers
treat	treats
stump	stumps
witch	witches
zealot	zealots
marsupial	marsupials
four	fours
weekend	weekends
whim	whims
slap	slaps
process	processes
book	books
testament	testaments
glob	globes
raspberry	raspberries
horseman	horsemen
interchange	interchanges
paragraph	paragraphs
blender	blenders
operative	operatives
enemy	enemies
phrase	phrases
spurt	spurts
lemming	lemmings
octave	octaves
expressway	expressways
candidate	candidates
apprenticeship	apprenticeships
jealousy	jealousies
sensor	sensors
pear	pears
teamster	teamsters
characterization	characterizations
textbook	textbooks
absentee	absentees
foodstuff	foodstuffs
mason	masons
analogy	analogies
vertebra	vertebrae
slide	slides
customer	customers
adventure	adventures
charger	chargers
macaw	macaws
philanthropist	philanthropists
blackout	blackouts
liner	liners
downer	downers
institution	institutions
musical	musicals
oxide	oxides
tribulation	tribulations
museum	museums
director	directors
piper	pipers
sneak	sneaks
rattle	rattles
isle	isles
depot	depots
missionary	missionaries
beam	beams
triad	triads
ear	ears
puncture	punctures
visor	visors
sewer	sewers
distillery	distilleries
battlefield	battlefields
invention	inventions
revelation	revelations
harpoon	harpoons
bandit	bandits
billboard	billboards
sound	sounds
therapist	therapists
heretic	heretics
lantern	lanterns
airfare	airfares
pharmacist	pharmacists
Frenchman	Frenchmen
throw	throws
distributor	distributors
zoo	zoos
nitrate	nitrates
nutritionist	nutritionists
interviewer	interviewers
pa	pas
expo	expos
garment	garments
profit	profits
bulge	bulges
weave	weaves
basque	basques
borrower	borrowers
killing	killings
bookseller	booksellers
offering	offerings
dispatcher	dispatchers
crutch	crutches
schoolmate	schoolmates
stag	stages
capacity	capacities
database	databases
tram	trams
pack	packs
climax	climaxes
antagonist	antagonists
curl	curls
skull	skulls
accolade	accolades
reputation	reputations
jukebox	jukeboxes
pogrom	pogroms
storm	storms
specification	specifications
scooter	scooters
dorm	dorms
extinguisher	extinguishers
perk	perks
successor	successors
songwriter	songwriters
attribute	attributes
sweep	sweeps
test	tests
quake	quakes
jab	jabs
rarity	rarities
flare	flares
fake	fakes
hope	hopes
vacation	vacations
memory	memories
schoolgirl	schoolgirls
socket	sockets
mountaintop	mountaintops
psychiatrist	psychiatrists
revolutionary	revolutionaries
altercation	altercations
depositor	depositors
reviewer	reviewers
friendship	friendships
dependency	dependencies
inquiry	inquiries
stunt	stunts
restaurant	restaurants
therapy	therapies
innovator	innovators
beatnik	beatniks
meat	meats
trophy	trophies
puddle	puddles
cop	cops
paddle	paddles
disposition	dispositions
amputee	amputees
bowler	bowlers
gorge	gorges
reserve	reserves
showgirl	showgirls
examiner	examiners
murmur	murmurs
present	presents
scroll	scrolls
kink	kinks
faculty	faculties
mutiny	mutinies
apprentice	apprentices
kickoff	kickoffs
impression	impressions
continent	continents
carcass	carcasses
identity	identities
measurement	measurements
gender	genders
raisin	raisins
dad	dads
low	lows
tool	tools
invasion	invasions
parade	parades
mantra	mantras
aspirant	aspirants
vigilante	vigilantes
bureaucrat	bureaucrats
tribe	tribes
moderate	moderates
gargoyle	gargoyles
vampire	vampires
cartel	cartels
inventory	inventories
telephone	telephones
deadline	deadlines
inaccuracy	inaccuracies
maze	mazes
property	properties
rap	raps
genotype	genotypes
chant	chants
household	households
brake	brakes
approach	approaches
barn	barnes
train	trains
ultimatum	ultimatums
blimp	blimps
obligation	obligations
clan	clans
electrolyte	electrolytes
sow	sows
dynasty	dynasties
bonfire	bonfires
kernel	kernels
bat	bats
head	heads
man	men
newsstand	newsstands
choice	choices
muse	muses
bristle	bristles
violation	violations
defender	defenders
bookstore	bookstores
stile	stiles
livelihood	livelihoods
cat	cates
residue	residues
sibling	siblings
booth	booths
receptor	receptors
councilman	councilmen
shift	shifts
president	presidents
clinch	clinches
aircraft	aircrafts
tabloid	tabloids
town	towns
mechanic	mechanics
hillside	hillsides
newsroom	newsrooms
division	divisions
houseboat	houseboats
scientist	scientists
ruler	rulers
fry	fries
scalp	scalps
sole	soles
diaper	diapers
vacuum	vacuums
outlet	outlets
spiral	spirals
cannon	cannons
ape	apes
bishop	bishops
plotter	plotters
disincentive	disincentives
insult	insults
legislature	legislatures
caster	casters
utensil	utensils
cadet	cadets
gangster	gangsters
monument	monuments
grotto	grottoes
farmhouse	farmhouses
snipe	snipes
worry	worries
tyke	tykes
minute	minutes
explosion	explosions
superior	superiors
shamrock	shamrocks
journal	journals
escapade	escapades
tug	tugs
birthday	birthdays
dawn	dawns
sufferer	sufferers
recruit	recruits
chief	chiefs
pollutant	pollutants
flake	flakes
flower	flowers
drummer	drummers
wallaby	wallabies
treasurer	treasurers
doc	docs
glacier	glaciers
fiend	fiends
hide	hides
marketplace	marketplaces
sitcom	sitcoms
infusion	infusions
eyeball	eyeballs
vat	vats
astronomer	astronomers
buddy	buddies
alteration	alterations
baboon	baboons
irregular	irregulars
television	televisions
trial	trials
closet	closets
disturbance	disturbances
place	places
ace	aces
carnivore	carnivores
steed	steeds
duke	dukes
clause	clauses
hydrant	hydrants
undesirable	undesirables
cola	colas
thriller	thrillers
mourner	mourners
chaplain	chaplains
cooper	coopers
uncle	uncles
solvent	solvents
manhunt	manhunts
texture	textures
rift	rifts
encyclopedia	encyclopedias
crest	crests
policeman	policemen
arsonist	arsonists
beachhead	beachheads
caveat	caveats
dictate	dictates
whistle	whistles
landing	landings
flight	flights
hulk	hulks
prod	prods
daredevil	daredevils
cutting	cuttings
calculator	calculators
flipper	flippers
dessert	desserts
observatory	observatories
find	finds
nail	nails
muscle	muscles
billion	billions
fix	fixes
toot	toots
expulsion	expulsions
complication	complications
individual	individuals
close	closes
film	films
masterpiece	masterpieces
cramp	cramps
boardroom	boardrooms
peak	peaks
lyricist	lyricists
seat	seats
adjustment	adjustments
universe	universes
appetizer	appetizers
epithet	epithets
cobblestone	cobblestones
subsidy	subsidies
chariot	chariots
ledge	ledges
laser	lasers
spin	spins
service	services
stadium	stadiums
target	targets
manager	managers
question	questions
trouble	troubles
inmate	inmates
harvest	harvests
association	associations
poodle	poodles
midget	midgets
youngster	youngsters
research	researches
bullet	bullets
pencil	pencils
setback	setbacks
swab	swabs
gunfight	gunfights
kite	kites
fitting	fittings
pew	pews
vegetable	vegetables
pianist	pianists
fare	fares
county	counties
vibration	vibrations
troublemaker	troublemakers
determinant	determinants
glove	gloves
delay	delays
detonator	detonators
newscaster	newscasters
clerk	clerks
life	lives
spoke	spokes
entanglement	entanglements
fact	facts
local	locals
fluke	flukes
stork	storks
truffle	truffles
allergy	allergies
conglomerate	conglomerates
number	numbers
eel	eels
chorus	choruses
vitamin	vitamins
veil	veils
driveway	driveways
bunny	bunnies
niche	niches
wad	wads
offender	offenders
age	ages
pitfall	pitfalls
citizen	citizens
reel	reels
dolphin	dolphins
diabetic	diabetics
tremor	tremors
padre	padres
crack	cracks
disclosure	disclosures
seam	seams
subcommittee	subcommittees
caterer	caterers
orgy	orgies
nomad	nomads
prerequisite	prerequisites
simulator	simulators
reactor	reactors
supplier	suppliers
inadequacy	inadequacies
outsider	outsiders
locality	localities
discrepancy	discrepancies
lollipop	lollipops
response	responses
bump	bumps
appeal	appeals
polymer	polymers
obstacle	obstacles
champion	champions
version	versions
chairperson	chairpersons
extremist	extremists
patrol	patrols
redwood	redwoods
quotation	quotations
litigant	litigants
solo	solos
cartridge	cartridges
national	nationals
rationale	rationales
minnow	minnows
nutrient	nutrients
automaker	automakers
exploration	explorations
clarinet	clarinets
origin	origins
squall	squalls
dig	digs
taper	tapers
yacht	yachts
color	colors
programmer	programmers
timer	timers
gulag	gulags
mist	mists
wrestler	wrestlers
nag	nags
fresco	frescoes
infinitive	infinitives
description	descriptions
rivet	rivets
chest	chests
denunciation	denunciations
clarification	clarifications
conduit	conduits
achiever	achievers
sauce	sauces
inscription	inscriptions
trap	traps
petrochemical	petrochemicals
hologram	holograms
moral	morales
wreath	wreaths
boundary	boundaries
verge	verges
human	humans
bough	boughs
fragment	fragments
domestic	domestics
workman	workmen
hippo	hippos
constructor	constructors
gentile	gentiles
spectrum	spectra
gorilla	gorillas
hive	hives
swastika	swastikas
paperback	paperbacks
filler	fillers
nickname	nicknames
play	plays
rape	rapes
combo	combos
saver	savers
investor	investors
aspiration	aspirations
tune	tunes
menace	menaces
repeat	repeats
bower	bowers
hypocrite	hypocrites
trump	trumps
hooligan	hooligans
communist	communists
result	results
front	fronts
cot	cots
executive	executives
environment	environments
storefront	storefronts
thong	thongs
parallel	parallels
bracelet	bracelets
church	churches
gypsy	gypsies
epidemic	epidemics
fin	fines
carpet	carpets
pancake	pancakes
laureate	laureates
item	items
backwater	backwaters
professional	professionals
bond	bonds
wing	wings
madman	madmen
bubble	bubbles
poster	posters
massacre	massacres
underestimate	underestimates
deposit	deposits
crevice	crevices
rehearsal	rehearsals
exec	execs
functionary	functionaries
vow	vows
component	components
punch	punches
soprano	sopranos
grouping	groupings
technician	technicians
sale	sales
underpass	underpasses
firm	firms
grinder	grinders
adolescent	adolescents
observation	observations
synagogue	synagogues
border	borders
sheikh	sheikhs
chainsaw	chainsaws
buyout	buyouts
imbalance	imbalances
exhibitor	exhibitors
roadway	roadways
compound	compounds
siren	sirens
heirloom	heirlooms
link	links
stagger	staggers
student	students
delegation	delegations
metaphor	metaphors
marcher	marchers
traditionalist	traditionalists
contradiction	contradictions
burglar	burglars
show	shows
keystroke	keystrokes
pallet	pallets
lure	lures
suicide	suicides
tortoise	tortoises
concert	concerts
vocalist	vocalists
paradox	paradoxes
flop	flops
spinner	spinners
review	reviews
chicken	chickens
final	finals
postcard	postcards
recession	recessions
bar	bars
pundit	pundits
clipping	clippings
forward	forwards
meter	meters
revolution	revolutions
listing	listings
stretch	stretches
offensive	offensives
mode	modes
high	highs
starlet	starlets
entertainer	entertainers
arsenal	arsenals
denominator	denominators
buffet	buffets
punishment	punishments
wash	washes
signpost	signposts
headache	headaches
specimen	specimens
boar	boars
decorator	decorators
physical	physicals
bout	bouts
sip	sips
superhero	superheroes
felony	felonies
beekeeper	beekeepers
crab	crabs
zine	zines
kid	kids
torrent	torrents
pig	pigs
point	points
mangrove	mangroves
default	defaults
beginning	beginnings
grill	grills
purpose	purposes
temp	temps
translation	translations
camper	campers
concourse	concourses
lip	lips
candle	candles
rung	rungs
host	hosts
lime	limes
collection	collections
mob	mobs
foursome	foursomes
tariff	tariffs
raincoat	raincoats
ailment	ailments
income	incomes
workload	workloads
rack	racks
developer	developers
frequency	frequencies
move	moves
dandelion	dandelions
deacon	deacons
gesture	gestures
cruiser	cruisers
insignia	insignias
deviation	deviations
infantryman	infantrymen
kitchen	kitchens
perch	perches
bid	bids
pin	pines
gap	gaps
squadron	squadrons
stroke	strokes
coach	coaches
bureau	bureaus
barnacle	barnacles
frontier	frontiers
rebound	rebounds
surplus	surpluses
mailing	mailings
multinational	multinationals
fortress	fortresses
grandparent	grandparents
testimonial	testimonials
idea	ideas
employee	employees
dame	dames
centrifuge	centrifuges
cathedral	cathedrals
pledge	pledges
prospector	prospectors
comrade	comrades
tower	towers
biography	biographies
holiday	holidays
franc	francs
thesis	theses
mate	mates
Tory	Tories
armadillo	armadillos
pacifist	pacifists
checkpoint	checkpoints
writ	writs
stimulant	stimulants
cattleman	cattlemen
forearm	forearms
strap	straps
frog	frogs
garland	garlands
refinery	refineries
reprise	reprises
conservationist	conservationists
stilt	stilts
concept	concepts
main	mains
photocopy	photocopies
indicator	indicators
screenwriter	screenwriters
home	homes
swimmer	swimmers
stereotype	stereotypes
cord	cords
laxative	laxatives
seance	seances
hinge	hinges
marshal	marshals
incision	incisions
recollection	recollections
gable	gables
buoy	buoys
simulation	simulations
valuation	valuations
volt	volts
dream	dreams
administrator	administrators
male	males
secretary	secretaries
vulture	vultures
merger	mergers
derivative	derivatives
dodger	dodgers
female	females
chalet	chalets
educator	educators
inflow	inflows
attic	attics
persona	personas
god	gods
miscarriage	miscarriages
extreme	extremes
polluter	polluters
arrow	arrows
talker	talkers
auction	auctions
fruit	fruits
symptom	symptoms
bear	bears
detective	detectives
cartoon	cartoons
hyena	hyenas
smuggler	smugglers
offer	offers
bastard	bastards
helm	helms
grandfather	grandfathers
portal	portals
animal	animals
dyke	dykes
appropriation	appropriations
campus	campuses
prairie	prairies
colleague	colleagues
promotion	promotions
helicopter	helicopters
profile	profiles
coupon	coupons
engine	engines
second	seconds
brat	brats
perpetrator	perpetrators
date	dates
library	libraries
parable	parables
talk	talks
hood	hoods
spin	spines
pastry	pastries
columnist	columnists
frame	frames
helper	helpers
federation	federations
mugger	muggers
billionaire	billionaires
treasury	treasuries
domain	domains
ideology	ideologies
sheet	sheets
extraction	extractions
wick	wicks
couple	couples
auctioneer	auctioneers
bathroom	bathrooms
remnant	remnants
page	pages
alto	altos
archivist	archivists
turnstile	turnstiles
thrust	thrusts
infrastructure	infrastructures
helmet	helmets
ward	wards
scenario	scenarios
emerald	emeralds
buckle	buckles
lineage	lineages
chimpanzee	chimpanzees
package	packages
speech	speeches
bender	benders
lira	lire
ballet	ballets
cop	copes
splinter	splinters
gather	gathers
pain	pains
hat	hats
pulsar	pulsars
appliance	appliances
revision	revisions
reeve	reeves
hoe	hoes
undertaking	undertakings
ring	rings
level	levels
commune	communes
speciality	specialities
spider	spiders
marshmallow	marshmallows
snake	snakes
jar	jars
overdraft	overdrafts
nomination	nominations
juror	jurors
injunction	injunctions
guise	guises
sardine	sardines
pageant	pageants
gym	gyms
coyote	coyotes
experiment	experiments
manuscript	manuscripts
seaport	seaports
axiom	axioms
address	addresses
minefield	minefields
spire	spires
force	forces
workshop	workshops
misconception	misconceptions
sim	sims
civilian	civilians
responsibility	responsibilities
weed	weeds
motorbike	motorbikes
plank	planks
couch	couches
satirist	satirists
payer	payers
landlord	landlords
millennium	millennia
eccentric	eccentrics
life	lifes
sedative	sedatives
drugstore	drugstores
forgery	forgeries
will	wills
exterior	exteriors
great	greats
draft	drafts
telecast	telecasts
chandelier	chandeliers
mite	mites
weakness	weaknesses
invalid	invalids
club	clubs
flurry	flurries
indie	indies
load	loads
tee	tees
hurdle	hurdles
tracker	trackers
sweatshirt	sweatshirts
ballot	ballots
lord	lords
memo	memos
showcase	showcases
penis	penises
motif	motifs
option	options
yam	yams
cod	codes
vintage	vintages
gymnast	gymnasts
infidelity	infidelities
meaning	meanings
testicle	testicles
amphetamine	amphetamines
wrap	wraps
partition	partitions
horseshoe	horseshoes
arrangement	arrangements
errand	errands
questionnaire	questionnaires
sketch	sketches
ballerina	ballerinas
job	jobs
scan	scans
proportion	proportions
tailor	tailors
solution	solutions
diver	divers
psychologist	psychologists
neanderthal	neanderthals
bow	bows
crowd	crowds
syndicate	syndicates
titan	titans
fly	flies
type	types
publicist	publicists
bun	buns
picnic	picnics
flat	flats
proposition	propositions
allotment	allotments
soldier	soldiers
dispute	disputes
token	tokens
bell	bells
condolence	condolences
gong	gongs
affair	affairs
politician	politicians
gust	gusts
dose	doses
companion	companions
pillow	pillows
throng	throngs
doctor	doctors
ghost	ghosts
blemish	blemishes
metal	metals
substation	substations
swamp	swamps
backup	backups
reprint	reprints
ox	oxen
putter	putters
machete	machetes
month	months
devil	devils
recreation	recreations
dresser	dressers
sacrament	sacraments
contingent	contingents
corral	corrales
ostrich	ostriches
view	views
intermediary	intermediaries
carrier	carriers
promise	promises
subscriber	subscribers
krone	kroner
performance	performances
fielder	fielders
stain	stains
spotlight	spotlights
prune	prunes
subsidiary	subsidiaries
boat	boats
medium	mediums
blooper	bloopers
culture	cultures
hue	hues
retiree	retirees
officer	officers
subway	subways
scuffle	scuffles
jerk	jerks
leaf	leaves
compass	compasses
announcer	announcers
community	communities
grad	grads
examination	examinations
typo	typos
reassurance	reassurances
summer	summers
glade	glades
rainstorm	rainstorms
ship	ships
six	sixes
parachute	parachutes
windmill	windmills
sheriff	sheriffs
embargo	embargoes
invitation	invitations
architect	architects
seminary	seminaries
navigator	navigators
crank	cranks
qualification	qualifications
snip	snipes
forum	forums
deformity	deformities
dodge	dodges
exemplar	exemplars
goalie	goalies
carrot	carrots
comeback	comebacks
elevator	elevators
creek	creeks
wire	wires
slot	slots
condo	condos
dormitory	dormitories
prankster	pranksters
tenet	tenets
shirt	shirts
lift	lifts
killer	killers
visa	visas
firefly	fireflies
grunt	grunts
lemur	lemurs
bon	bones
betrayal	betrayals
animator	animators
maverick	mavericks
planner	planners
dial	dials
visit	visits
barrier	barriers
journey	journeys
steer	steers
caregiver	caregivers
philosopher	philosophers
dispatch	dispatches
valley	valleys
violin	violins
confection	confections
ministry	ministries
tsunami	tsunamis
drug	drugs
purist	purists
fool	fools
earthquake	earthquakes
recount	recounts
collaborator	collaborators
rating	ratings
intimate	intimates
bailey	baileys
Bushman	Bushmen
trapper	trappers
thunderbolt	thunderbolts
doctrine	doctrines
physicist	physicists
notification	notifications
sweet	sweets
epic	epics
bladder	bladders
schism	schisms
crown	crowns
nova	novas
eyelid	eyelids
stick	sticks
skid	skids
rooftop	rooftops
poacher	poachers
touchdown	touchdowns
comma	commas
technologist	technologists
verb	verbs
slum	slums
subordinate	subordinates
priest	priests
ski	skies
tempo	tempos
ambassador	ambassadors
lamb	lambs
franchise	franchises
projector	projectors
hermit	hermits
rash	rashes
monkey	monkeys
soup	soups
petitioner	petitioners
waterway	waterways
dismissal	dismissals
beard	beards
blister	blisters
theory	theories
range	ranges
role	roles
acquittal	acquittals
strain	strains
friend	friends
apostle	apostles
graveyard	graveyards
grievance	grievances
packet	packets
bird	birds
vineyard	vineyards
idiot	idiots
workplace	workplaces
steal	steals
monarchy	monarchies
bill	bills
airman	airmen
commodore	commodores
footnote	footnotes
laurel	laurels
blackbird	blackbirds
period	periods
suburb	suburbs
hull	hulls
glory	glories
rifle	rifles
flow	flows
cab	cabs
shooting	shootings
soundtrack	soundtracks
scraper	scrapers
tile	tiles
sanctuary	sanctuaries
emission	emissions
bathtub	bathtubs
fixture	fixtures
square	squares
mussel	mussels
fleet	fleets
gram	grams
wrangler	wranglers
playboy	playboys
personality	personalities
bakery	bakeries
shuttle	shuttles
medicine	medicines
keg	kegs
cameraman	cameramen
bean	beans
belt	belts
snapshot	snapshots
tackle	tackles
ghoul	ghouls
gamer	gamers
majority	majorities
ass	asses
lighter	lighters
don	dons
vignette	vignettes
cameo	cameos
communicator	communicators
contingency	contingencies
interpreter	interpreters
spy	spies
tarantula	tarantulas
reward	rewards
pedal	pedals
company	companies
element	elements
reflection	reflections
assessment	assessments
aborigine	aborigines
alley	alleys
spear	spears
resume	resumes
poke	pokes
benefit	benefits
carving	carvings
peanut	peanuts
sprinkler	sprinklers
destroyer	destroyers
placement	placements
booklet	booklets
coaster	coasters
comb	combs
tracer	tracers
crony	cronies
last	lasts
server	servers
strut	struts
request	requests
elite	elites
plural	plurals
toe	toes
clinician	clinicians
tryout	tryouts
lama	lamas
smile	smiles
gatherer	gatherers
weevil	weevils
confidant	confidants
goal	goals
planetarium	planetariums
bull	bulls
social	socials
retirement	retirements
background	backgrounds
aroma	aromas
perennial	perennials
snag	snags
rendition	renditions
pedestrian	pedestrians
arrival	arrivals
ingredient	ingredients
country	countries
suspicion	suspicions
shop	shops
catastrophe	catastrophes
line	lines
player	players
Latino	Latinos
gate	gates
socialist	socialists
attacker	attackers
magician	magicians
alarm	alarms
carnival	carnivals
swap	swaps
atrocity	atrocities
replay	replays
barricade	barricades
muster	musters
charter	charters
gopher	gophers
inequality	inequalities
tread	treads
surveyor	surveyors
compulsion	compulsions
bed	beds
bolster	bolsters
aide	aides
festival	festivals
meteorite	meteorites
pipe	pipes
drawer	drawers
lament	laments
trafficker	traffickers
oyster	oysters
temper	tempers
sportswriter	sportswriters
tripper	trippers
holding	holdings
incidence	incidences
board	boards
courier	couriers
seaman	seamen
reader	readers
want	wants
mistake	mistakes
facade	facades
coon	coons
trend	trends
pivot	pivots
refusal	refusals
duty	duties
firecracker	firecrackers
